rowid,kepid,is_exoplanet,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
4279,3859042,0,25.94947,148.9734,0.678,15.7,238.3,1.22,508,15.74,8.2,1,q1_q17_dr25_tce,5348,4.609,0.748,293.73605,38.940041,15.908
4281,4946049,0,1.8789138,133.06338,0.536,4.279,30.2,1.9,3330,29112.69,17.8,1,q1_q17_dr25_tce,8046,3.704,3.339,297.23672,40.034039,12.95
4283,5559651,0,0.514771509,131.94435,0.222,1.256,43.4,0.57,2113,4749.21,12,1,q1_q17_dr25_tce,5730,4.545,0.87,298.22543,40.783989,14.198
4285,5437348,0,35.945188,146.6937,0.1278,8.23,72.6,1.5,789,91.51,4.1,,,6578,4.087,1.744,288.23523,40.612839,11.628
4286,8429668,0,5.00749378,134.69035,0.206,2.898,56.6,1.68,1499,1192.26,14.7,1,q1_q17_dr25_tce,5242,3.644,2.243,291.39969,44.473099,12.938
4287,7429240,1,196.436796,173.692,0.019,8.556,631.9,2.33,292,1.72,14.4,1,q1_q17_dr25_tce,5462,4.452,0.946,286.37827,43.07325,15.139
4290,7032001,0,0.566810643,131.80277,0.315,3.471,45.6,0.52,1976,3605.07,17.2,1,q1_q17_dr25_tce,5776,4.598,0.758,291.27859,42.53738,14.844
4294,6199864,0,262.477098,173.1293,0.0753,5.816,1016,1.92,178,0.24,9.7,,,4227,4.641,0.62,290.16943,41.54974,15.72
4295,9577855,0,2.21030572,133.57674,0.233,2.492,92,1.06,1572,1440.34,11.4,1,q1_q17_dr25_tce,6355,4.418,1.09,286.83643,46.288509,14.886
4297,4386607,0,5.99321872,133.6359,0.02,3.92,203.2,1.23,952,194.41,9.5,1,q1_q17_dr25_tce,5853,4.544,0.868,296.52655,39.49091,15.512
4299,12108364,0,0.70544189,131.6954,0.328,1.772,133.5,1.04,1960,3481.65,13.9,1,q1_q17_dr25_tce,5838,4.529,0.897,289.97791,50.668259,15.826
4301,10407210,0,0.933728755,131.54241,0.645,4.363,13.5,0.72,2777,14057.75,17.9,1,q1_q17_dr25_tce,6652,4.036,1.863,292.83698,47.55394,10.959
4302,7457278,0,12.607591424,136.8554856,0.996,29.1267,79.5,1.61,809,101.31,41.6,1,q1_q17_dr25_tce,6047,4.47,1.002,295.30386,43.059681,11.36
4305,8984755,0,0.734573766,131.59872,0.044,1.295,68.4,0.86,2061,4270.04,11.4,1,q1_q17_dr25_tce,5602,4.325,1.051,300.94925,45.247952,14.617
4306,7366895,0,289.86046,258.5572,0.3711,11.103,234.5,1.5,279,1.43,10.3,1,q1_q16_tce,5914,4.451,0.971,293.06857,42.957211,13.696
4307,10729472,0,357.13089,157.7985,0.1365,13.04,330.5,1.62,246,0.87,11.8,,,5838,4.529,0.897,291.16476,48.052429,15.271
4308,6200612,0,370.50684,150.8212,0.0647,12.132,418.6,2.06,277,1.39,8.8,,,6360,4.458,0.999,290.38583,41.552311,14.851
4309,9777200,0,1.332580225,132.03999,0.519,2.057,46.3,2.18,3111,22103.67,16.4,1,q1_q17_dr25_tce,6858,3.731,3.096,294.51309,46.500759,13.922
4314,5200084,0,2.9039446,133.8526,0.686,10.542,13.1,1.17,2637,11446.75,32,1,q1_q17_dr25_tce,7846,3.829,3.05,295.33606,40.392132,9.162
4315,4144873,0,68.538296,186.21716,0.002,3.627,1087,25.77,1031,267.17,11.3,1,q1_q17_dr25_tce,4687,2.613,8.123,288.03705,39.208988,13.983
4317,9171886,0,369.7985,173.3282,0.1382,12.564,1106.4,2.53,225,0.61,11.1,,,5680,4.582,0.757,297.81274,45.508678,15.696
4318,3337061,0,6.5588346,133.8215,0.7173,3.034,41.2,0.7,973,211.64,8.1,,,5780,4.438,1,290.03314,38.426861,10.609
4319,5696918,0,0.643007769,131.68588,0.012,0.69,68.1,0.35,1070,311.13,10.3,1,q1_q17_dr25_tce,3925,4.825,0.421,289.07382,40.977531,14.8
4324,2720828,0,1.71659304,131.6976,0.1534,1.154,138,1.17,1607,1577.89,9.5,1,q1_q17_dr24_tce,6192,4.467,0.987,293.14069,37.994469,14.971
4326,4857058,0,77.915425,160.9193,0.448,8.274,178.8,1.17,367,4.28,9.2,2,q1_q17_dr25_tce,5135,4.464,0.874,297.04208,39.912231,14.316
4328,8804937,0,181.3537,190.4847,0.5983,16.19,455,2.11,317,2.39,11.7,,,5900,4.509,0.951,285.43997,45.011559,15.914
4330,11912987,0,3.74786694,134.17739,0.49,3.632,80.9,0.89,1176,451.72,19.1,1,q1_q17_dr25_tce,5957,4.498,0.971,291.00818,50.255589,13.567
4332,4136659,0,0.913244995,132.18552,0.286,0.4931,47.8,0.77,1967,3541.46,10.2,1,q1_q17_dr25_tce,5923,4.402,1.049,284.91156,39.298618,13.343
4334,6610064,0,0.584148495,131.84461,0.584,1.6192,66.2,0.87,2130,4882.9,21.9,1,q1_q17_dr25_tce,5427,4.347,1.031,292.97867,42.056492,13.949
4336,5476671,0,0.824180121,132.10276,1.171,2.839,208.1,17.8,1912,3155.32,39.7,2,q1_q17_dr25_tce,5977,4.514,0.883,298.75528,40.665218,14.638
4337,7335972,0,0.579770948,132.081304,0.946,1.0377,467.9,2.4,1953,3425.06,44.3,2,q1_q17_dr25_tce,5561,4.561,0.854,281.04361,42.975761,15.298
4338,2694632,0,0.92225589,131.8088,0.992,4.227,33,1.29,2206,5614.19,7.1,1,q1_q17_dr25_tce,5631,4.114,1.485,286.37338,37.919003,12.352
4341,5428471,0,0.75499096,131.8315,0.322,2.485,215.8,1.39,1949,3403.34,9.9,1,q1_q17_dr25_tce,5743,4.466,0.946,284.34848,40.690659,15.708
