"rowid","kepid","kepoi_name","koi_period","koi_time0bk","koi_impact","koi_duration","koi_depth","koi_prad","koi_teq","koi_insol","koi_model_snr","koi_steff","koi_slogg","koi_srad","predict","CONFIRMED","FALSE POSITIVE"
7795,6307000,"K06687.01",1.002591901,131.65849,0.312,1.247,143.20000000000002,0.87,1391,884.21,11.100000000000001,4893,4.574,0.739,"FALSE POSITIVE",0.1396960863247514,0.8603039136752486
7796,6345758,"K06689.01",3.37116682,132.0176,0.318,4.708,71.4,0.98,1291,656.3000000000001,9.8,5653,4.288,1.163,"FALSE POSITIVE",0.3648179975524545,0.6351820024475455
7809,8016692,"K06954.01",6.613671,136.4964,0.096,4.211,32.800000000000004,0.91,1266,607.33,10.200000000000001,6056,4.071,1.597,"FALSE POSITIVE",0.4359361102357507,0.5640638897642494
7811,8042644,"K06957.01",1.48062814,131.51534999999998,0.47900000000000004,2.898,62.5,0.76,1653,1770.63,10.3,6187,4.499,0.937,"FALSE POSITIVE",0.025498820673674344,0.9745011793263256
7820,9658089,"K07220.01",1.057080807,131.69304,0.9660000000000001,1.82,60.6,0.97,1805,2518.85,11.3,6000,4.487,0.9460000000000001,"FALSE POSITIVE",0.11700837086513638,0.8829916291348636
7822,9693803,"K07224.01",13.4959496,142.1992,0.2136,2.085,253.60000000000002,1.62,784,89.25,7.300000000000001,5962,4.464,1.0190000000000001,"FALSE POSITIVE",0.30555310905724764,0.6944468909427524
7825,10659624,"K07354.01",43.2675604,136.4574,0.8180000000000001,8.331000000000001,69.10000000000001,1.61,664,45.99,10.0,5747,4.018,1.729,"FALSE POSITIVE",0.4453591409698129,0.5546408590301871
7829,11825996,"K07483.01",16.9163386,132.8922,0.6327,2.5210000000000004,64.2,0.68,648,41.74,6.300000000000001,5628,4.513,0.81,"FALSE POSITIVE",0.18337806955724956,0.8166219304427504
7853,6368222,"K06697.01",82.97062172,171.428214,,8.22,,,,,,,,,"FALSE POSITIVE",0.004231799795292318,0.9957682002047077
7863,7135549,"K06835.01",22.50053441,150.2171942,,7.44,,,,,,,,,"FALSE POSITIVE",0.004434088678099215,0.9955659113219008
