"rowid","kepid","kepoi_name","koi_period","koi_time0bk","koi_impact","koi_duration","koi_depth","koi_prad","koi_teq","koi_insol","koi_model_snr","koi_steff","koi_slogg","koi_srad","predict","CONFIRMED","FALSE POSITIVE"
38,11138155,"K00760.01",4.9593192440000005,172.2585292,0.8310000000000001,2.22739,9802.0,12.21,1103,349.40000000000003,696.5,5712,4.359,1.082,"FALSE POSITIVE",0.3699844633035474,0.6300155366964526
59,11818800,"K00777.01",40.4195037,173.56468999999998,0.911,3.362,6256.0,7.51,467,11.290000000000001,36.9,5446,4.507,0.781,"CONFIRMED",0.5370637578226838,0.4629362421773162
63,11918099,"K00780.02",7.2406612,137.75545,1.198,0.558,556.4,19.45,734,68.63,13.700000000000001,5005,4.595,0.765,"CONFIRMED",0.5105161484115298,0.4894838515884702
64,9579641,"K00115.03",3.43591631,132.6624,0.624,3.1330000000000005,23.200000000000003,0.55,1272,617.61,8.700000000000001,5779,4.339,1.087,"FALSE POSITIVE",0.4166674267846642,0.5833325732153358
73,3246984,"K00799.01",1.6266302250000002,169.820171,1.26,2.1145,1620.6000000000001,32.43,1547,1355.88,103.60000000000001,5735,4.41,0.973,"FALSE POSITIVE",0.12060066383444223,0.8793993361655578
85,3115833,"K00797.01",10.181584004000001,177.141891,0.92,3.5089,5741.1,7.73,812,102.91,183.60000000000002,5988,4.541,0.836,"FALSE POSITIVE",0.4112773681018347,0.5887226318981653
93,3453214,"K00802.01",19.620346923,181.88181899999998,0.458,2.0038,21725.0,13.6,643,40.39,340.5,5710,4.492,0.905,"FALSE POSITIVE",0.39356742344385376,0.6064325765561462
95,3641726,"K00804.01",9.02930689,177.20422,0.024,3.1449000000000003,1019.8000000000001,2.57,757,77.75,53.900000000000006,5349,4.526,0.8200000000000001,"CONFIRMED",0.8230333059804982,0.17696669401950182
104,3940418,"K00810.01",4.783002698000001,170.508434,0.003,2.3350000000000004,1008.7,2.5,886,145.48,70.60000000000001,5170,4.574,0.807,"CONFIRMED",0.7809370843933279,0.21906291560667213
113,4544670,"K00815.01",34.84398644,172.633252,0.934,2.9315,4523.6,7.61,511,16.1,76.80000000000001,5509,4.482,0.871,"CONFIRMED",0.5719057708171402,0.4280942291828598
123,5115978,"K00823.01",1.028436523,170.228582,1.5734000000000001,1.8606000000000003,8098.0,72.77,1947,3400.48,89.60000000000001,6228,4.428,0.99,"FALSE POSITIVE",0.01588973612020317,0.9841102638797968
154,5792202,"K00841.03",6.54626149,133.85963999999998,0.644,2.7500000000000004,655.9000000000001,2.19,810,101.78,24.8,5251,4.581,0.8170000000000001,"CONFIRMED",0.6059780002591483,0.3940219997408517
166,6867155,"K00868.01",235.9986399,208.399822,0.778,8.2284,20715.0,10.59,188,0.29,271.8,4245,4.627,0.657,"FALSE POSITIVE",0.031027669601547236,0.9689723303984528
172,6526710,"K00856.01",39.74893077,172.85464399999998,0.881,7.3051,15179.0,14.21,552,21.87,561.1,6122,4.487,0.964,"FALSE POSITIVE",0.28603721951213357,0.7139627804878664
184,6862328,"K00865.01",119.0207044,222.236492,0.076,8.140500000000001,7430.5,8.98,366,4.25,223.5,5453,4.3420000000000005,1.062,"CONFIRMED",0.5761495006101349,0.4238504993898651
196,11869052,"K00120.01",20.5452375,137.91394,0.9500000000000001,2.5170000000000003,218.5,2.41,742,71.57000000000001,18.5,5670,4.206,1.264,"CONFIRMED",0.647775828815129,0.35222417118487104
202,7135852,"K00875.01",4.220965778,170.622433,0.7050000000000001,3.0854000000000004,2260.0,2.62,595,29.68,157.8,3837,4.747,0.517,"CONFIRMED",0.6982737029630327,0.3017262970369673
211,7678434,"K00892.02",3.96996298,137.75447,0.8360000000000001,1.1757000000000002,299.2,1.78,992,229.37,15.0,5121,4.457,0.888,"CONFIRMED",0.5361804341764638,0.4638195658235363
216,7380537,"K00883.01",2.6888992330000003,170.10209039999998,0.001,2.11275,37492.0,12.040000000000001,929,175.76,1011.6,4820,4.667,0.639,"FALSE POSITIVE",0.19837273282459822,0.8016272671754018
230,8013419,"K00901.01",12.732624065000001,176.939054,0.811,2.2083000000000004,6465.700000000001,4.87,432,8.22,210.5,3950,4.721,0.541,"CONFIRMED",0.6854640994102553,0.3145359005897447
231,8018547,"K00902.01",83.92494032,236.76334,0.658,6.790400000000001,7958.700000000001,4.78,226,0.62,182.10000000000002,3960,4.746,0.509,"FALSE POSITIVE",0.49082351428428983,0.5091764857157102
247,7938496,"K00900.01",13.81020318,172.33533,0.791,3.048,1309.7,4.5600000000000005,833,113.75,46.2,5942,4.327,1.1420000000000001,"CONFIRMED",0.591972506284589,0.408027493715411
253,8552202,"K00914.01",3.886655224,169.73814,0.649,3.1646,581.6,1.87,1010,246.29,48.1,5662,4.61,0.738,"FALSE POSITIVE",0.47525524194748203,0.524744758052518
269,9140402,"K00928.01",2.494170338,170.852848,0.095,1.1221,863.7,2.42,1194,480.19,69.2,5569,4.566,0.8290000000000001,"CONFIRMED",0.6077734759643242,0.3922265240356758
287,8951215,"K00924.01",39.4759093,173.31207,0.9380000000000001,2.9680000000000004,1012.6,4.0600000000000005,577,26.13,26.6,6225,4.45,1.031,"CONFIRMED",0.5521243832808371,0.44787561671916293
304,9347899,"K00935.04",9.61731426,142.47478999999998,0.331,3.8692,234.0,1.94,1010,246.13,18.2,6035,4.22,1.2570000000000001,"CONFIRMED",0.6838318650923014,0.31616813490769863
312,9904059,"K00145.01",102.96419519999999,158.07473,0.922,15.735000000000001,1896.7,39.0,797,95.4,86.10000000000001,5047,3.0660000000000003,7.119,"FALSE POSITIVE",0.06412523843970541,0.9358747615602946
316,2860866,"K01103.01",90.1240507,356.23415,0.6980000000000001,11.649000000000001,3020.3,7.12,485,13.09,57.900000000000006,6520,4.375,1.215,"FALSE POSITIVE",0.3574556737332253,0.6425443262667747
318,10460629,"K01168.01",856.672115,228.44987999999998,0.1158,23.144000000000002,858.1,3.87,242,0.81,39.2,6449,4.232,1.309,"FALSE POSITIVE",1.0728452058628157E-5,0.9999892715479414
319,10319385,"K01169.01",0.6892101730000001,133.28584,0.154,1.6169000000000002,195.0,1.32,1943,3362.71,93.4,5630,4.505,0.9540000000000001,"FALSE POSITIVE",0.17622890060536822,0.8237710993946318
