kepid,kepoi_name,P (Exoplanet) – Logistic Regression,P (Exoplanet) – Random Forest,P (Exoplanet) – Gradient Boosting Machine
11336883,K01445.03,0.0273182369,0.0040931796,0.003355667
9705459,K01448.01,0.0252836686,0.2475674673,0.009237021
8631160,K01271.01,0.2510986631,0.6112727273,0.819221697
9202151,K01393.01,0.6844294974,0.7805331095,0.991258268
8804283,K01276.01,0.8487606504,0.9788983575,0.9976797257
8804283,K01276.02,0.8000930902,0.8462056313,0.9226041435
4077526,K01336.04,0.3809541578,0.6325430174,0.9026105722
8935810,K01395.01,0.5296333456,0.89414364,0.993613936
9427402,K01397.01,0.9083787974,0.8639460208,0.9821444029
3962440,K01208.01,0.0002562108,0.261706942,0.1328606204
3534076,K01209.01,0.1394309514,0.1921212122,0.0056802186
4466677,K01338.02,0.6484845978,0.6103604117,0.5730283911
4466677,K01338.03,0.6023024829,0.3727185806,0.0824147674
9269281,K01398.01,0.5172305734,0.7717915585,0.9899047171
9100484,K01399.01,0.8072587979,0.9294481262,0.9918378098
8742590,K01281.01,0.827599574,0.7747464897,0.9491409105
9150827,K01408.01,0.7643049602,0.9380032044,0.9919441107
6631721,K00160.01,0.4866295244,0.7232128677,0.9191009947
10971674,K01296.01,0.1075112115,0.1169640805,0.0001702522
7363829,K01356.01,0.000072833,0.0103981591,0.0001503886
6719086,K01357.01,0.746500992,0.8014733065,0.9735830934
7376983,K01358.01,0.7646426648,0.8540902463,0.9913864367
11026304,K01420.01,0.7639328791,0.4644467512,0.4458613705
11342550,K01421.01,1.18642873303543E-11,0.4668232559,0.3544333259
7376983,K01358.02,0.8804212429,0.916980722,0.9921304742
7376983,K01358.03,0.8210426335,0.7270362207,0.7999573429
7376983,K01358.04,0.7773814785,0.6927367182,0.9493516328
6946199,K01359.01,0.7449539695,0.5803363209,0.9823797569
6946199,K01359.02,0.4056408089,0.3659871942,0.0498085407
10867062,K01303.01,0.4232813428,0.3104176805,0.2500941036
4860678,K01602.01,0.7833397522,0.9295379286,0.9878933303
9836959,K01715.01,0.4125862135,0.7344315615,0.9766507154
9823487,K01489.01,0.7315152519,0.9545756271,0.9962077315
10015937,K01720.01,0.5330790962,0.6546128028,0.9782859385
11821363,K01494.01,0.8120505873,0.9161175944,0.992312029
11820830,K01728.01,0.0934681125,0.014,3.13154932689574E-05
9636135,K01498.02,0.2453975342,0.2397429327,0.0586024161
7841925,K01499.03,0.7358562257,0.7233617702,0.8378377297
5219234,K01563.03,0.6390901186,0.7296707886,0.979311293
6470149,K01230.01,0.0500079822,0.119,0.0029150275
4276716,K01619.01,0.8791481607,0.5611329947,0.8102023024
7287683,K01622.01,0.3561306283,0.4265198365,0.2639849234
8266276,K01731.01,0.4735599813,0.7831662019,0.9910398537
6543893,K01627.02,0.6660500981,0.5135797009,0.1187643652
4365645,K01738.01,0.7129903649,0.8383648816,0.9969178675
7199906,K01739.01,0.0012578538,0.0029151331,0.0004781407
7032421,K01747.01,0.4884270187,0.044050926,0.0228447826
9017682,K01630.01,0.749708029,0.7220571905,0.9496060381
10749128,K01639.02,0.5310568435,0.2337023229,0.0009674786
11904734,K01764.01,0.5702622158,0.3072690507,0.7256771193
11870545,K01510.01,0.2988333724,0.2974760607,0.4274316893
5376836,K00182.01,0.122045896,0.2125074666,0.0589719194
5031857,K01573.01,0.8062119161,0.8494504855,0.9494431469
5031857,K01573.02,0.7096986036,0.7296929632,0.6946611033
11046025,K01646.01,0.6947695409,0.7198214924,0.9908450102
8651389,K01754.01,0.7006887226,0.837648612,0.9821519722
10028792,K01574.03,0.5851489637,0.7223126866,0.9435269833
11153121,K01647.03,0.6285206687,0.3671624595,0.1288049193
11177543,K01648.01,0.6575329537,0.7529153322,0.8063770845
11337141,K01649.01,0.62513833,0.6989061961,0.9736166322
6705142,K01758.01,0.5975631542,0.8418755492,0.8987278185
4067336,K01761.01,0.5216102281,0.4335565976,0.1657136644
6803202,K00177.01,0.8023258622,0.901470887,0.9958921735
5299459,K01576.03,0.7804471787,0.2338515267,0.0046956433
4471747,K01656.01,0.5124219513,0.8045937396,0.9848410829
7939330,K01581.01,0.377901312,0.2761000781,0.2466687541
4918309,K01582.01,0.2158122788,0.3979799642,0.7658960941
4650733,K01659.01,0.7281876243,0.604725924,0.6557273808
4830605,K01660.01,0.6389398535,0.74134381,0.9740439661
12120943,K01458.01,0.6127464982,0.4784168702,0.8389947202
7768451,K01527.01,0.1898757135,0.5376173077,0.9786522396
4932442,K01665.02,0.6806825901,0.2079635333,2.61674500179332E-05
5360920,K01675.01,0.4605569041,0.021125,0.0160123534
9512981,K01466.01,0.0503382725,0.53,0.781381288
5972334,K00191.02,0.63088285,0.8164281011,0.9994205297
5526717,K01677.02,0.0437056529,0.0011404541,0.0002998827
5531953,K01681.01,0.6674767096,0.6274249462,0.7176114625
9480310,K01470.01,0.6312605785,0.6098813862,0.7435186003
9872292,K01537.01,0.4762735015,0.7025483943,0.7891869738
8081482,K01539.01,0.0015218562,0.046,0.000058584
5542466,K01590.01,0.8645282734,0.9419176264,0.9927497461
5542466,K01590.02,0.5780581325,0.7824850765,0.8867078906
5542466,K01590.03,0.7081119081,0.7406571203,0.8029375342
10028140,K01591.01,0.5981573939,0.6708384732,0.9590295148
6049190,K01685.01,0.7264494734,0.7654389983,0.9994779408
7499398,K01473.01,0.6130463979,0.3322573909,0.0252878136
4770365,K01475.01,0.7674205538,0.7857533786,0.9614135714
4770365,K01475.02,0.8693731851,0.9597339776,0.9896532991
4770365,K01475.03,0.8181866637,0.7631241389,0.6334446474
4840513,K01541.01,0.0136543548,0.1806666667,0.0300722301
5972334,K00191.03,0.2629856314,0.6874933193,0.9695900176
6696462,K01693.01,0.3253627262,0.108595664,0.0171899836
7222086,K01701.01,0.0726442293,0.0655003732,0.0001753252
12406749,K01476.01,0.5143514487,0.6377986917,0.6561178174
7811397,K01477.01,0.134260477,0.4606666667,0.7467433242
5282049,K01545.01,0.5049721917,0.6227705275,0.9246925048
5475431,K01546.01,0.0407445642,0.0976976331,0.0012611555
5039228,K01597.01,0.6300231888,0.6022498663,0.9499269745
7386827,K01704.01,0.5701863158,0.9660167266,0.9954712866
7522911,K01705.01,0.4545921254,0.7833853055,0.8635421763
7512982,K01480.02,0.8217427431,0.462340787,0.5273273109
5283458,K01547.01,0.6088603005,0.4007705275,0.2178350066
5474613,K01599.01,0.4441395461,0.2849760367,0.0086966195
7750419,K01708.01,0.6474047682,0.8095747531,0.9739252862
7984047,K01552.01,0.6238920051,0.5739760516,0.5149666514
9030537,K01892.01,0.5165411422,0.9286553509,0.9931877842
5513648,K01962.01,0.6373345753,0.9018316033,0.9544620615
7887791,K01964.01,0.5042952407,0.547277183,0.6077839184
9634821,K02037.01,0.6758289648,0.7747498752,0.998337136
9634821,K02037.03,0.8359024837,0.6976534513,0.8572969403
11601584,K01831.03,0.7924329156,0.5866722481,0.9867828022
11601584,K01831.04,0.6594198746,0.7264826298,0.9300320174
5695524,K01897.01,0.5182384802,0.8408067238,0.9978742339
7948784,K01968.01,0.4378772562,0.769210719,0.8963421868
9244756,K01969.01,0.6053940393,0.9539170576,0.9886036613
8804845,K02039.01,0.7225484471,0.9202146755,0.9970065214
10480915,K02040.01,0.6310159102,0.7800323668,0.9456997057
3629967,K01901.01,0.7806872243,0.8987877366,0.9914325157
11253711,K01972.01,0.7131224182,0.9635426523,0.9882455194
9111849,K02042.01,0.1667113858,0.2906511628,0.2768863046
3448130,K02043.01,0.7514242939,0.9641041933,0.9996664171
11773328,K01906.01,0.5578356439,0.6151198382,0.9217031799
7289577,K01974.01,0.7090366229,0.7766547171,0.9841269573
7779077,K01842.01,0.6852681311,0.9409528785,0.9956166386
6862721,K01982.01,0.6856358471,0.8552020445,0.9988554107
9279354,K02060.01,0.5337989628,0.8887627921,0.9989594599
5080636,K01843.02,0.7187287002,0.3001102171,0.1556062637
3338885,K01845.02,0.5314575376,0.1567037036,0.0268681483
10094670,K01984.01,0.5141673307,0.8519452901,0.9734213251
8142942,K01985.01,0.5922569502,0.8565092409,0.9855038655
3248501,K02052.01,0.2736084152,0.2675604089,0.0005301838
10134152,K02056.01,0.8066484826,0.9201729192,0.9965304459
11570749,K01856.01,0.8788593465,0.9260993924,0.998222102
11297236,K01857.01,0.4861277355,0.9193263954,0.9963585057
10074466,K01917.01,0.6240598462,0.9217199864,0.988632231
9411166,K01922.02,0.0384750144,0.0011404541,0.0009700793
6061773,K02001.01,0.7962917601,0.6643550765,0.8782795997
2579043,K02064.01,0.6280897527,0.8543452845,0.9957611808
3239671,K02066.01,0.597794483,0.6680941395,0.9129891559
8160953,K01858.02,0.2581249585,0.0961109756,2.40547754378762E-05
4157325,K01860.03,0.4523606438,0.6393746321,0.145057688
5108214,K01924.01,0.105740567,0.0913333333,0.0010962972
5770074,K01928.01,0.7812557183,0.9589737861,0.9992043881
10005758,K01783.01,0.3287707476,0.4830521041,0.5115814582
10158418,K01784.01,0.3403136993,0.3893103404,0.0209730125
3648437,K01861.01,0.8405546742,0.9654633413,0.9987929247
11126381,K01863.01,0.7771350783,0.9315753152,0.9982552714
4149450,K01864.01,0.3148365617,0.5963708574,0.470127129
2449431,K02009.01,0.7310145622,0.9236165776,0.9985937366
5731623,K01793.01,0.2305846514,0.3317479841,0.1306477088
6707908,K02014.01,0.1961397095,0.0570615385,0.0164536306
9758089,K01871.01,0.4784065012,0.7512873257,0.8164497708
9883311,K01872.01,0.5370534086,0.1120991385,0.0202625176
4242147,K01934.01,0.8805230841,0.8714736034,0.9974737731
4349442,K01803.01,0.5588337124,0.9257107053,0.9945571297
10005788,K01940.02,0.0470185934,0.0011059713,0.0002668969
10656508,K00211.01,0.573446802,0.7473795642,0.9970610042
2832589,K01942.01,0.6824319939,0.9320411819,0.9538197671
2438513,K01944.01,0.6241972701,0.9146839283,0.9898662174
8578780,K02023.01,0.7945346644,0.9399467792,0.9544126696
7761918,K01808.01,0.7957534332,0.9023090339,0.9993293704
3098810,K01878.01,0.5639653058,0.7762981286,0.9502510672
11656918,K01945.02,0.7659658328,0.1897579069,0.0027514403
10844890,K01946.01,0.4895283993,0.9207014118,0.9633120076
8624520,K01816.01,0.6375990986,0.6862451051,0.9811496006
4851530,K01884.02,0.7073782989,0.6356713501,0.7012598209
6300348,K00212.01,0.6254342962,0.7638269486,0.9938400241
5124667,K01822.01,0.64031446,0.7123799256,0.9989733582
11074178,K01889.02,0.4566939058,0.6398054745,0.5713282383
11030475,K02248.04,0.5592098836,0.1479895038,0.0019176232
5942808,K02250.01,0.4784099369,0.8756743757,0.9945036418
7033233,K02339.02,0.016245756,0.0045236469,0.0013236261
6383785,K00239.02,0.6295702824,0.9282536799,0.9985648055
8261920,K02174.01,0.6505977314,0.692692908,0.9944621149
8261920,K02174.02,0.7289763767,0.7208102639,0.962181294
8261920,K02174.03,0.6837517893,0.5195587423,0.2042488494
8126558,K02259.01,0.8376693953,0.8420577013,0.9902503018
12017109,K02106.01,0.7182800272,0.815315546,0.9568482118
3734418,K02261.02,0.7776129856,0.1702666873,0.014598951
8613535,K02263.01,0.7021270676,0.6817453867,0.9637561004
8591173,K02181.01,0.751159937,0.6964418263,0.3972869096
1872821,K02351.01,0.7576000464,0.8232101468,0.97879278
8013439,K02352.03,0.4037646706,0.4190341868,0.7056841107
4140813,K02117.01,0.7782801984,0.8929966793,0.9962498355
3097926,K02186.01,0.6212331311,0.9221726953,0.9515222884
10518424,K02188.02,0.671936618,0.1679828981,0.0014887275
5730445,K02189.01,0.6626930934,0.660523019,0.9906240709
5601258,K02191.01,0.8973322418,0.8971203018,0.9845157844
5716932,K02358.01,0.5214801848,0.7389613708,0.9920515127
11566256,K02361.01,0.6402223681,0.5976743025,0.3313645597
4857213,K02120.01,0.6162898585,0.8757881878,0.9881182523
8591693,K02123.01,0.8262355466,0.9098420576,0.9832762133
5602588,K02369.02,0.700870211,0.3096661017,0.0030011224
5385304,K02370.01,0.3855607306,0.0965677614,0.0201545354
11462341,K02124.01,0.6598038956,0.6731656116,0.8322234342
9405595,K02125.01,0.4908110967,0.8281931151,0.959317876
8494542,K02204.01,0.6812433268,0.5239256465,0.0804800824
11073656,K02206.01,0.3619236398,0.2234961372,0.301735992
12505654,K02353.01,0.5532726112,0.8674889936,0.9683127768
7215678,K02354.01,0.0538934733,0.0475528882,0.0003231565
7449554,K02357.01,0.433790764,0.7387683063,0.9233672465
2161536,K02130.01,0.905637297,0.8644220454,0.9826766083
9661979,K02132.01,0.6050785198,0.9120478058,0.9977792602
3440978,K02288.01,0.6183921263,0.3427354071,0.0067813867
12121570,K02290.01,0.7605917488,0.8449024385,0.9895596558
8410415,K02291.01,0.7129758977,0.96196612,0.9967772438
7987866,K02363.01,0.6138632664,0.6466980684,0.9136387375
9086251,K02367.01,0.5257209279,0.6435636351,0.5610165185
4248120,K02216.01,0.8381130906,0.8696883362,0.9688216169
9580992,K02217.01,0.5736936357,0.6838033009,0.6257788501
8321314,K02293.01,0.8351477314,0.9197112297,0.9977467875
6934986,K02294.01,0.5168867317,0.7452415752,0.9971663954
4049901,K02295.01,0.8349762039,0.6003156419,0.784841659
10798331,K02373.01,0.4283166627,0.6620164711,0.8481625067
5357545,K02219.01,0.6382409428,0.7566937397,0.9632566727
5342473,K02297.01,0.5464212753,0.9100684294,0.9978233992
9334893,K02298.01,0.7899420316,0.6583531159,0.9951768376
9963265,K02299.01,0.4469968685,0.054968254,0.0005438255
9289704,K02222.01,0.1390580337,0.2003461539,0.0982311105
10874215,K02305.01,0.674214791,0.865536204,0.873179349
7661065,K02307.01,0.451539046,0.6610648486,0.947483327
3937519,K00221.02,0.7801141137,0.9240013481,0.9976600784
9517393,K02076.01,0.544332355,0.9214618656,0.9949577848
3229150,K02150.01,0.359754178,0.0165875,0.000166708
8892157,K02224.02,0.7656854874,0.1275742026,0.0008559294
11520459,K02226.01,0.7357337059,0.8499229074,0.9838672025
11718144,K02310.01,0.8372544032,0.9024866894,0.9963219226
4247991,K02311.01,0.0028549181,0.003970468,0.0004128601
4247991,K02311.02,0.0283680261,0.0063911972,0.0019158306
10026544,K02312.01,0.331058112,0.1001666667,0.0002984931
2853780,K02081.01,0.3296424462,0.4633511629,0.1762408964
9472000,K02082.01,0.8319819795,0.9582763538,0.9986439991
12505076,K02154.01,0.7531038582,0.9012836825,0.9507963864
