kepid,kepoi_name,P (Exoplanet) – Logistic Regression,P (Exoplanet) – Random Forest,P (Exoplanet) – Gradient Boosting Machine
6149910,K02469.01,0.6483242273,0.7710632025,0.9878263428
5436013,K02471.01,0.6557520223,0.8009240252,0.9781997486
4484336,K02547.01,0.7452629967,0.7358007414,0.8031025879
9580167,K02548.01,0.00001024,0.016,0.000010851
11752906,K00253.01,0.8670236521,0.9518492096,0.9977813818
11768142,K02626.01,0.647100896,0.6473849427,0.715883026
7984574,K02400.01,0.7985129707,0.7678123108,0.9618683009
10336951,K02401.01,0.7709462957,0.8273583564,0.9888874399
8240617,K02474.01,0.1302909687,0.0506449666,0.0001433978
11622985,K02550.01,0.6616482802,0.7359293078,0.5332931454
11361283,K02551.01,0.8205379953,0.7351948628,0.8846900746
9832208,K02553.01,0.6964936355,0.7711489248,0.9921346705
7584650,K02631.01,0.4477189234,0.6097831146,0.7484333864
6364215,K02404.01,0.2024121033,0.2124716715,0.0083917379
6846911,K02477.01,0.5921439829,0.668566199,0.9664026603
5963582,K02479.01,0.7386994645,0.8484899507,0.998530102
4476423,K02481.01,0.0718426637,0.16885,0.0001667174
6467363,K02840.01,0.3819995957,0.5738288891,0.9651795334
6467363,K02840.02,0.6288777324,0.643002603,0.6069756534
8758204,K02841.01,0.5248666702,0.5397645248,0.4889160928
10332213,K02919.01,0.2150235927,0.0725333334,0.0161980542
10073672,K02764.01,0.7857504666,0.860817288,0.992978414
7749773,K02848.01,0.538487146,0.9599757608,0.9993161292
10064256,K02849.01,0.6945085092,0.7481787311,0.990120713
6842807,K02921.01,0.8602680212,0.4511311154,0.2318101135
9815053,K02923.01,0.7334383138,0.5660253256,0.1529187639
9697131,K02706.01,0.2171910684,0.2775746819,0.5024195673
10917043,K02770.01,0.3933730863,0.7073825309,0.8583858487
6697605,K02851.01,0.4134314605,0.7272522763,0.974718271
6697605,K02851.02,0.1809493974,0.1957888404,0.0829227974
12602314,K02853.01,0.5354611318,0.5136385688,0.9624664621
5787131,K02927.01,0.7706892892,0.8409486987,0.9755838813
6346809,K02775.01,0.5159841969,0.0224292169,0.021715832
4547603,K02855.01,0.3258793655,0.2818055936,0.0424766566
8259713,K02935.01,0.7297845345,0.6497589612,0.8248969067
11098013,K02712.01,0.345299041,0.509440914,0.2547062765
11874577,K02779.01,0.5768630407,0.7697900691,0.9907588481
3425851,K00268.01,0.5854739206,0.76733012,0.9995165533
10397751,K02859.03,0.6056463816,0.4152959949,0.0717667384
6679295,K02862.01,0.8352776965,0.7258954962,0.7657743327
6356692,K02948.01,0.5913223669,0.8999604412,0.9980819185
6026737,K02949.01,0.5499165712,0.734458651,0.9255335876
9837661,K02715.03,0.8609698059,0.9206773258,0.9941100229
4935172,K02962.01,0.3183285221,0.1234473527,0.2113059279
8760040,K02963.02,0.5527035168,0.8314580185,0.9392754624
8176564,K02720.01,0.4635439504,0.9058122781,0.9929517078
10604521,K02797.01,0.1644269434,0.1895532412,0.4599311261
4385148,K02942.01,0.792714334,0.8118048767,0.7059131441
4385148,K02942.02,0.7122906067,0.8486745982,0.892970016
8617363,K02945.01,0.8269284938,0.7245932962,0.7163003544
7670943,K00269.01,0.4422891873,0.6894498411,0.9619579714
5905822,K02801.01,0.3644545925,0.7752045026,0.997672166
10793172,K02871.01,0.8101963565,0.9284341344,0.9938283899
10793172,K02871.02,0.7540838465,0.9061447041,0.9957364161
10597693,K02958.01,0.8054456995,0.6732037245,0.9794362735
7466270,K02959.01,0.6458172528,0.5322459249,0.1453003064
3346154,K02723.01,0.2210995419,0.2560377711,0.0211889713
9898447,K02803.01,0.4911832578,0.5940444571,0.8717583853
5106313,K02878.01,0.736079706,0.8093397645,0.997101858
5980783,K02967.01,0.512882081,0.7882619028,0.9263493248
8873090,K02968.01,0.2858624421,0.4748840036,0.881552093
6370120,K02811.01,0.6242301553,0.2288041685,0.0466201966
5794570,K02675.02,0.1789346511,0.1166919359,0.1643176084
9958387,K02677.01,0.1199472293,0.3372857143,0.1245291534
5953297,K02733.01,0.5390215709,0.6515184345,0.8447932762
7659389,K02734.01,0.4311559121,0.6904405611,0.9946257661
9472074,K02735.01,0.1994353268,0.3287680424,0.3707694559
11197853,K02813.01,0.000002685,0.0129777778,0.0011234544
6716021,K02679.01,0.2015743188,0.1292333333,0.0007694104
4249611,K02821.01,0.7747171851,0.6763193207,0.8597288705
8263545,K02822.01,0.4362748276,0.7185205847,0.6799678343
7899070,K02683.01,0.3649513303,0.4222249412,0.8819950871
7826659,K02686.01,0.1676680031,0.6221897663,0.5376170198
7202957,K02687.01,0.2410840471,0.0398047186,0.002991536
4939533,K02899.01,0.7458328312,0.7298901943,0.73269976
4846856,K02900.01,0.6803397881,0.8016617631,0.6699553692
10265602,K02689.01,0.2226999486,0.3565328525,0.2486328656
5369827,K02690.01,0.424545803,0.8001901184,0.954602155
6197215,K02829.01,0.6981850415,0.6858606881,0.9878450474
4552729,K02691.01,0.7175842417,0.7912748931,0.9978924768
3663173,K02750.01,0.3202407837,0.3627000001,0.4110989465
9109857,K02833.01,0.1405774057,0.0572063258,0.0004121939
5436338,K02835.01,0.8561651532,0.9405460874,0.9946891411
6716545,K02906.02,0.4222271971,0.3699081989,0.262619175
9475552,K02694.02,0.693450802,0.9302767799,0.9975646535
5196864,K02695.01,0.2937445699,0.0930277779,0.0088949613
11071200,K02696.01,0.2735494454,0.2504459436,0.1745310927
11071200,K02696.02,0.3465575938,0.4368189242,0.8186751175
3545135,K02755.01,0.6303248539,0.6958581762,0.8128464374
6432345,K02757.01,0.2941963368,0.5417988962,0.9799005525
8703129,K02758.01,0.0413324157,0.1402,0.0054636335
5613821,K02915.01,0.4275187728,0.7748229609,0.9865794056
8639908,K02700.01,0.378299709,0.5607082334,0.9890866557
11076400,K02759.01,0.454834747,0.2771570867,0.0539028013
7877978,K02760.01,0.6267320426,0.8725360641,0.9988794171
10190075,K03007.01,0.5808191682,0.6398795574,0.9734742455
10749059,K03086.01,0.5116703465,0.5937995443,0.659729042
9020114,K03088.01,0.6394306819,0.5753353857,0.4596242249
7668416,K03089.01,0.3046448306,0.3807407171,0.5912564291
6029239,K00304.02,0.674014683,0.1766064294,0.0224698331
3545478,K00366.01,0.4353266371,0.1812,0.011176526
4815520,K00367.01,0.8673890112,0.8764744604,0.9869638295
11565544,K03013.01,0.2912780707,0.0789799044,0.000723843
12072872,K03017.01,0.4815875942,0.3417543978,0.2005955745
6609270,K03090.01,0.7253076273,0.7805339299,0.9568350526
12406807,K03091.01,0.725490537,0.6363435284,0.2472541463
9650989,K03095.01,0.5745304722,0.5912786853,0.7388605884
6291837,K00308.01,0.5345399352,0.8919957681,0.9965811769
8709688,K03019.01,0.5983435622,0.8917598445,0.9798988571
8241079,K03020.01,0.6375680224,0.6799325714,0.9679928655
11618601,K03022.01,0.4423344711,0.5577528894,0.7454062265
7364176,K00373.01,0.5968576584,0.8708123884,0.999624611
12356617,K00375.01,5.41353601946071E-06,0.4114393939,0.502393885
11618601,K03022.02,0.542605354,0.5364710415,0.9179736267
12168993,K03105.01,0.373233285,0.1754846807,0.0004734445
7700622,K00315.01,0.8724246626,0.9585399655,0.9996894659
8008067,K00316.03,0.5611330563,0.8638173161,0.9982034453
7051180,K00064.01,0.1190539164,0.1768616122,0.1959543035
2446113,K00379.02,0.7275828928,0.7554237967,0.79627089
11137180,K03027.01,0.7130391777,0.5399671872,0.7572707385
5903749,K03029.01,0.6719226435,0.5301418331,0.269832254
5903749,K03029.02,0.5942269636,0.5769230397,0.3046941632
3756264,K03108.01,0.7062414276,0.6056284456,0.7018292374
8581240,K03111.02,0.551859967,0.6042267604,0.2636079044
8684730,K00319.01,0.5923747992,0.3854309209,0.0847700599
3246867,K06315.01,0.750437704,0.1988303818,0.0097996857
8554498,K00005.01,0.3358790996,0.2767136043,0.0137969065
6949898,K03031.01,0.7219467411,0.6304408548,0.8418545567
2973386,K03034.01,0.7420043302,0.7963601541,0.9907938142
7022573,K03112.01,0.6065972962,0.3436879531,0.0006890659
9288237,K03114.01,0.6402542808,0.6442381109,0.7640821789
6593150,K03037.01,0.6474785253,0.6075570555,0.8169768395
6523351,K03117.01,0.4925093837,0.5010945722,0.9526707322
5551672,K03119.01,0.8391847196,0.8199311325,0.9906681108
8197793,K03123.01,0.7791368927,0.8945275499,0.9707790801
9880467,K00326.01,0.0076979294,0.067,0.0053876074
9880467,K00326.02,0.0643390604,0.126,0.2826605832
3831053,K00388.01,0.5708229344,0.7028197123,0.9876721093
6357290,K03040.01,0.6220166398,0.6031257626,0.6369423231
4072955,K03041.01,0.5305365635,0.5912997528,0.6282112936
8695311,K03042.01,0.7639733778,0.5944634732,0.5909417048
9834731,K03043.01,0.2997283314,0.3613830554,0.1386950192
5092266,K03045.01,0.6931491163,0.8664194181,0.980694113
7609674,K03128.01,0.7366748052,0.5033895864,0.9579851996
4252322,K00396.01,0.5027977093,0.072,0.000553004
9714550,K03048.01,0.7117452542,0.6521946536,0.9203158602
5475042,K03050.01,0.3845746561,0.1447711115,0.0221362977
10252275,K03130.01,0.6300737307,0.3000725427,0.1939192694
10252275,K03130.02,0.5670471512,0.6372149003,0.9703019948
5450893,K02970.01,0.323465789,0.7910515819,0.9939043005
4770174,K02971.01,0.3456987034,0.5857148462,0.518767903
8949925,K02972.01,0.7387242064,0.9437040617,0.9926065746
9959492,K03051.01,0.580880525,0.399730907,0.0097161316
8827575,K03052.01,0.6966648388,0.6419645884,0.8380401225
8827575,K03052.02,0.7424898435,0.7190928139,0.5938156162
6945786,K03136.01,0.6444230132,0.4744516294,0.6955468438
5978170,K03140.01,0.7986350664,0.5757845209,0.3049126241
6438099,K02976.01,0.7035723649,0.6074423092,0.2820573306
3752110,K03142.01,0.7445308876,0.6118109085,0.8853154715
1717722,K03145.01,0.6193083843,0.7945048329,0.9886409939
1717722,K03145.02,0.5433807,0.2446308892,0.4994056761
4141376,K00280.01,0.5392099963,0.7908025458,0.969995944
8360640,K02982.01,0.5062818004,0.5503493446,0.7056242648
4857058,K03061.01,0.5879444159,0.6889994346,0.9559084171
5040077,K03065.01,0.1980753732,0.1518487454,0.0185263173
9592705,K00288.01,0.563889586,0.6592331665,0.9962999559
10386922,K00289.01,0.8320579054,0.9594743923,0.9961810997
7918652,K02984.01,0.6986296464,0.8433643997,0.984914573
9230021,K03429.04,0.6964875523,0.3926447267,0.0048961977
6636320,K02989.01,0.765416014,0.7388208498,0.8307408175
4067925,K03066.01,0.8562364561,0.7989666754,0.9339587624
3230805,K03068.01,0.7919746255,0.597150713,0.6696127617
4676964,K03069.01,0.8112548855,0.7454990276,0.9914018878
11189127,K00347.01,0.0767954998,0.2107974138,0.0009036036
11394027,K00349.01,0.8520583705,0.9331975167,0.9966747983
7609553,K02924.02,0.6554422503,0.5858618029,0.922685849
11395587,K00350.01,0.8268585028,0.8940386321,0.9349541912
8509442,K02992.01,0.681275999,0.7161577888,0.4211952648
8546542,K03073.01,0.761754948,0.6362342352,0.3846584738
10122538,K02926.05,0.5587945291,0.6592709855,0.9435548896
11566064,K00353.01,0.2493668163,0.48745,0.0590021892
11566064,K00353.02,0.6370136032,0.8330987423,0.5936806713
3328080,K03075.01,0.7033506581,0.8193704082,0.9505085533
8430964,K03078.01,0.4287541917,0.4622921973,0.1885880778
12256520,K02264.02,0.7186810349,0.641536994,0.8892996528
12785320,K00298.02,0.5907290497,0.7751607302,0.9757860247
11568987,K00354.02,0.5761661895,0.6452095469,0.3935550926
10000941,K04146.02,0.7007900931,0.3386980812,0.3355600145
6677841,K01236.04,0.1562839558,0.3133539683,0.0260505283
7106173,K03083.01,0.6621498872,0.4512912773,0.2040541071
7106173,K03083.02,0.630724193,0.2214345629,0.0235310295
7106173,K03083.03,0.7506620888,0.3332217938,0.0451436411
8162789,K00521.01,0.5605880064,0.8888783141,0.9692112233
8265218,K00522.01,0.6420155786,0.9469811781,0.9863116279
8558011,K00577.01,0.7246292005,0.9632394193,0.994985483
9334893,K02298.03,0.6780093652,0.1634844716,0.121782947
8934495,K00524.01,0.758607953,0.9209257965,0.998361563
12406807,K03091.02,0.6743005076,0.2024472239,0.0018059674
4548011,K04288.04,0.6774757202,0.6266117865,0.6399086097
10016874,K00426.01,0.5985915975,0.9402918076,0.9971603298
10189546,K00427.01,0.8042729124,0.9377708312,0.9965598577
10395543,K00531.01,0.6197172269,0.5562590818,0.9404700929
7941200,K00092.01,0.6462823659,0.858829937,0.9854621398
10717241,K00430.02,0.8826682859,0.3945648425,0.0812004932
7303287,K01353.03,0.0605446419,0.008513523,0.0013688562
8121310,K00317.02,0.696256479,0.57453117,0.8432225246
10513530,K00533.02,0.3977663296,0.5390650437,0.2393159424
11709124,K00435.02,2.09231613013117E-06,0.5308075696,0.1795019812
11805075,K00436.01,0.008780661,0.0440615385,0.0033048637
10676824,K00599.01,0.4739862477,0.8902430455,0.9058852209
6268648,K01613.03,0.6599864878,0.5367731967,0.1390619253
8212002,K02593.02,0.6662667112,0.747312206,0.7298838042
7017274,K03209.02,0.4364382899,0.5425830009,0.9216306457
12366084,K00787.03,0.0754707223,0.0648599172,0.0031061741
9957627,K00592.01,0.8180706265,0.9276503771,0.9977741254
9872283,K01815.02,0.5576676415,0.285929261,0.019837027
9958962,K00593.03,0.6777499391,0.8997694937,0.9962353558
4951877,K00501.01,0.8004065505,0.9622554293,0.9928949033
5544450,K03226.02,0.4766792008,0.2758262052,0.0119922268
10973664,K00601.02,0.4995588524,0.4571279704,0.2400842864
6779260,K02678.02,0.3994624126,0.1975454186,0.0007737133
5443837,K00554.01,0.1993207816,0.3220277193,0.0012450342
5709725,K00555.02,0.5454272308,0.8860021935,0.986989273
2832589,K01942.02,0.3605601864,0.3233266992,0.0438931945
5780715,K00506.01,0.1507020014,0.2574574565,0.3574311795
10793172,K02871.04,0.7975047175,0.3461915263,0.0359125245
10285631,K00331.02,0.5182548397,0.2008870646,0.1351888212
5978361,K00558.01,0.669896766,0.9776750834,0.9974791103
8554498,K00005.02,0.0420594726,0.0011404541,0.0007549658
7504328,K00458.01,0.000043657,0.2354680135,0.0017959919
7199397,K00075.01,0.3542613648,0.3360833334,0.7344389396
10157458,K01083.02,0.5842456787,0.1863530671,0.0884566533
8261920,K02174.04,0.6541698136,0.2768784295,0.0045976088
6716545,K02906.03,0.6756920104,0.5741775581,0.8253078181
1723078,K07624.01,0.0477244298,0.0185202703,0.0008885696
10187017,K00082.06,0.6997569423,0.6102964395,0.9502103573
7906892,K04773.02,0.5108029999,0.4044974328,0.0166672012
8320630,K04846.02,0.6773158144,0.2951446633,0.1563418732
9703198,K00469.01,0.4706719406,0.4205772989,0.0013480914
8056665,K00089.02,0.1689579461,0.3295833334,0.1417911827
6289650,K00415.01,0.5096099079,0.625050505,0.982432029
11135694,K04896.02,0.6180901587,0.2265852656,0.0686095182
10155434,K00473.01,0.6238828416,0.9806441277,0.9992569569
10460984,K00474.03,0.4268866723,0.6767587054,0.9205859602
8216763,K04838.03,0.6958120632,0.2974348475,0.0037483705
3758499,K05007.02,0.5961389088,0.4527725298,0.3016187645
10157573,K00726.01,0.1675798952,0.0302666667,0.0011606742
10221013,K00728.01,0.3060293257,0.2681509988,0.0192421961
7619236,K00682.01,0.0008509246,0.4179393939,0.6723493381
7630229,K00683.01,0.0688617935,0.2821626658,0.2591825743
7730747,K00684.01,0.3399485525,0.2871304762,0.0046013075
7906882,K00686.01,0.5404580351,0.4913756101,0.9115334856
7976520,K00687.01,0.4289544773,0.4777380428,0.1650713489
2302997,K07630.01,0.787699013,0.1909459871,0.0036204764
8505215,K00099.01,1.50990331349021E-14,0.434311406,0.967914099
5020319,K00635.01,0.7124263069,0.8488730445,0.9314008628
12116489,K00547.03,0.7597020073,0.2728242595,0.0349819901
8480285,K00691.01,0.8065644926,0.961429121,0.9991079603
10265898,K00732.02,0.4193975157,0.4220213752,0.8125851986
10265898,K00732.03,0.4571099277,0.6777125937,0.9840093094
10272442,K00734.02,0.786785796,0.6172458574,0.6326467726
4055765,K00100.01,0.1659489616,0.1506511628,0.0005126647
5131180,K00641.01,0.7368616074,0.9553357934,0.9901731632
8869680,K00696.01,0.301584437,0.5763972932,0.7383395603
10843431,K07378.02,0.5806644406,0.4021048718,0.5509446373
10287242,K00735.01,0.5486417345,0.3554249866,0.0103541
5374854,K00645.02,0.8122766277,0.9627911726,0.9966416695
9588822,K04388.02,0.359044256,0.1456833334,8.38132827262195E-05
8456679,K00102.01,0.4832234072,0.7266271256,0.9927123602
5786676,K00650.01,0.7771828474,0.7354691999,0.9916806495
9266431,K00704.01,0.6530524701,0.9694535028,0.9986696331
10610039,K04577.02,0.5781256217,0.3041461415,0.1661136646
11284772,K04622.02,0.8521905569,0.2292066146,0.0537192178
4832837,K00605.02,0.7925598948,0.2269220617,0.0779782189
5441980,K00607.01,0.3124112252,0.2332028191,0.0026823794
2444412,K00103.01,0.8328218849,0.9740974848,0.9986514493
10972902,K04692.02,0.5873662372,0.1215809171,0.0013704331
6309763,K00611.01,0.2187758247,0.3051371942,0.036612768
9413156,K04700.02,0.7079493781,0.3005595734,0.1235161966
9846348,K00716.01,0.5504471006,0.3105140192,0.0442449679
2696205,K07636.01,0.1387539215,0.242619001,0.0255903215
6752502,K00667.01,0.3187248348,0.5212615304,0.797407499
9714696,K00616.01,0.132163474,0.3284525245,0.3088043713
10384962,K00619.01,0.0097677328,0.0569634993,0.0007651331
12417486,K00622.01,0.2674941607,0.1978,0.0192858999
2577353,K07635.01,0.6550348319,0.3903200561,0.1164136903
4449034,K00625.01,0.3907324121,0.0587761628,0.0004305612
4478168,K00626.02,0.5898884717,0.7599830556,0.9188100569
8686373,K04066.01,0.2711006893,0.4474449264,0.1737879768
7256914,K04136.01,0.2366889518,0.572613312,0.8961541027
7256914,K04136.02,0.3451673824,0.673399549,0.9320001694
6871071,K02220.04,0.7186145936,0.8727331015,0.98290586
5530112,K04067.01,0.6951190968,0.5545115747,0.8359657929
5906694,K04069.01,0.868496673,0.8905044258,0.993565055
3112129,K04144.01,0.0889945167,0.0752531607,0.00134978
3103212,K04145.01,0.3603603401,0.3401713488,0.0369333811
6871071,K02220.05,0.7059715586,0.4877001512,0.3714865398
10875007,K04149.01,0.4012782069,0.7834809752,0.9927529354
10875007,K04149.02,0.431366032,0.7136713899,0.9778239556
11465651,K04150.01,0.5598558078,0.683040045,0.8852719169
5881120,K04156.01,0.2843576843,0.2044315159,0.0112923764
4548098,K04157.01,0.5539312858,0.3426244898,0.0564448393
7021681,K00255.02,0.7717311242,0.2133164637,0.0538564225
4078311,K04166.01,0.7623469484,0.7205670123,0.9606154232
11967788,K04021.01,0.5489593793,0.6119305174,0.8957228457
7199060,K04152.01,0.3160547815,0.167405131,0.0148828946
8439323,K04153.01,0.4931128817,0.527865312,0.1412886127
4458082,K02303.02,0.3689220876,0.2474437947,0.0136175218
11967788,K04021.02,0.5562569585,0.3014364803,0.0104557629
7733731,K04022.01,0.4253980781,0.4508062258,0.8679721263
3110177,K07644.01,0.4444370421,0.1310293448,6.78590952811753E-05
5942808,K02250.02,0.2035063114,0.3827025124,0.1470239505
3232249,K07648.01,0.4487982167,0.1413722584,0.006381526
5688683,K04097.01,0.6120200372,0.7891110202,0.9944412439
7449554,K02357.02,0.6520444845,0.8194139691,0.9804100332
8282651,K02193.02,0.7649381282,0.515393017,0.205803258
8222627,K04098.01,0.1108096059,0.1090777778,0.0812879977
8951205,K04099.01,0.6384843776,0.5561081259,0.3730880959
9071593,K02257.02,0.6905007528,0.607599196,0.8387639392
8264402,K04037.01,0.1074967967,0.4379085586,0.8139203457
3129238,K07645.01,0.5127430839,0.1272452273,9.87560847504065E-05
7907808,K04109.01,0.1177899435,0.1804166667,0.6430182501
9655005,K04047.01,0.0009247198,0.0100930233,0.0003941615
5092655,K04116.01,0.3282075769,0.0643197906,0.007926155
9700449,K04120.01,0.5192945531,0.46052334,0.6667215737
6140059,K04123.01,0.4049918615,0.5165267034,0.9861234583
5726910,K04124.01,0.502481387,0.3894421398,0.2468554136
1718958,K04053.01,0.190886694,0.1129606844,2.08330669573265E-05
6428794,K04054.01,0.2483398289,0.5939677826,0.9897669175
4673628,K04056.01,0.3331323672,0.0505833334,0.0063950572
3852872,K07673.01,0.8620962167,0.1475543023,0.0016692674
9086154,K04060.01,0.1688102127,0.3471863646,0.7146762858
11970988,K04129.01,0.6424181295,0.5834081983,0.8960819297
6792908,K04341.01,0.4874150866,0.2527614059,0.0292938147
8087812,K04343.01,0.4748531583,0.6701422259,0.9623177709
10534155,K04345.01,0.3208676184,0.1173126733,0.0132808805
5308537,K04409.01,0.7461066806,0.897680446,0.9951490321
6350882,K04410.01,0.6704116686,0.5473539565,0.5664769119
3450040,K04205.01,0.364643222,0.1976865978,0.2500656901
9456281,K04207.01,0.6055186866,0.3263983901,0.1099839326
5129453,K04208.01,0.8120310755,0.6587291277,0.5768893916
7918478,K04209.01,0.6087510423,0.4160913856,0.0274790272
9509343,K04346.01,0.8212315802,0.6224927638,0.1490262348
7673841,K02585.03,0.6155308723,0.4941543915,0.4996919389
11968463,K02433.04,0.5292536754,0.554719088,0.7918003004
5436161,K04351.01,0.0838995597,0.0690052692,0.0002791991
4571844,K04353.01,0.6943854578,0.3424946428,0.0163689539
2859893,K04418.01,0.0643291095,0.026513523,0.0002812308
6026737,K02949.02,0.347648608,0.3760222184,0.0586120316
7582691,K04419.01,0.1456760051,0.3231358457,0.0085487426
9836563,K04421.01,0.6229805779,0.7180402917,0.9289615315
1724719,K04212.02,0.5367085606,0.402968209,0.0672795836
6187341,K04216.01,0.0961886412,0.2513375773,0.501106469
11081504,K04287.01,0.533414248,0.6907279462,0.3771683622
12016267,K02590.02,0.4319181392,0.607834326,0.9220938394
3550372,K04357.01,0.0654661955,0.0915521368,0.0065658797
8240790,K04426.01,0.0491535871,0.01,0.0007279779
4548011,K04288.02,0.6818145239,0.7618290623,0.9472069959
7191646,K04358.01,0.4308784487,0.412068727,0.3509410571
1575873,K04359.01,0.0062195828,0.0049833333,1.61882166274108E-05
7801070,K04361.01,0.6770992315,0.3427613227,0.5232775502
4172805,K04427.01,0.633850198,0.5365858316,0.9588961816
5126182,K04428.01,0.6190952015,0.5174079525,0.2917487249
7661893,K04296.01,0.5293228801,0.5441376695,0.9123228792
9776794,K04363.01,0.7361095927,0.4205129523,0.2761697145
7673192,K02722.05,0.6797412675,0.5014847964,0.2866047883
11124436,K04442.01,0.6947195658,0.6382007193,0.8606118783
5780855,K04443.01,0.252451518,0.2866296065,0.0028434665
9491832,K04226.01,0.5876882543,0.7553131422,0.9259626882
2852941,K04298.01,0.1907753634,0.2694641055,0.2844470838
4773392,K04367.01,0.2957412938,0.3026243777,0.4835135417
5471489,K04368.02,0.4991544751,0.1100465116,9.04572202875542E-06
9936080,K04431.01,0.8059937346,0.7852687188,0.9848991516
6290935,K04302.01,0.5473192061,0.7690935113,0.9578668796
9349757,K03348.02,0.8439280339,0.5361646491,0.0983656833
9702006,K04372.01,0.6859256825,0.4997670623,0.6007553923
6103377,K03004.02,0.4694869097,0.6142686204,0.0999695614
3660581,K07662.01,0.0641515638,0.0678529702,0.0025721183
10794974,K04235.01,0.5817668432,0.489307928,0.1527010097
3558849,K04307.01,0.2545769301,0.6142167418,0.6667475404
6587002,K00612.03,0.3888465886,0.6748322542,0.8682925916
5175024,K02563.02,0.6145542682,0.3559797306,0.1971565767
9100953,K04500.03,0.6860222571,0.4731748893,0.1417601802
10991114,K04374.01,0.7159525185,0.5054753005,0.6945215406
4945764,K04377.01,0.3218775088,0.5006323297,0.7949637548
11718389,K04444.01,0.8404026215,0.5981196162,0.7589136357
10604592,K04447.01,0.4454338553,0.3844194595,0.7450853349
9834731,K03043.02,0.724292398,0.1986841672,0.0048764734
9514372,K04242.01,0.6119319126,0.4210631235,0.8728150623
7103919,K04310.01,0.8375828725,0.5444117511,0.5348039456
3762750,K07668.01,0.4534205357,0.2783732936,0.02142197
9886361,K02732.04,0.646291694,0.7466880001,0.9848618018
12737015,K04245.01,0.5338202138,0.8369421414,0.9662828175
9286088,K04318.01,0.4805647314,0.6667907504,0.9741045392
6937529,K04382.02,0.4421748357,0.3480627061,0.0877241341
3645438,K04385.01,0.7294795969,0.7741705956,0.8926200749
8480582,K04386.01,0.6869419038,0.7557430121,0.4638829576
5197233,K04178.01,0.3263410858,0.2311980316,0.0005762406
7119481,K00566.03,0.7941203036,0.2739001042,0.1239784492
6938264,K04180.01,0.509914772,0.3456808336,0.924694112
8741470,K04251.01,0.586256948,0.3527785381,0.0187840974
10525049,K04252.01,0.8702559896,0.479030221,0.8773336836
9896018,K02579.02,0.3402100509,0.7583254437,0.9644297298
5095082,K04320.01,0.787313261,0.7442324378,0.9837592249
2997459,K04389.01,0.8426594662,0.6164538291,0.918463527
8330207,K04390.01,0.0192582796,0.0206708011,0.000772227
5881813,K02744.02,0.6240540331,0.6485615795,0.3952155778
6752002,K04184.01,0.794373583,0.7335851071,0.9755371656
7257966,K04185.01,0.3643335854,0.5618092418,0.8126867326
9202434,K04253.01,0.0731524681,0.1223582634,0.004486522
7901016,K04257.01,0.7433476296,0.7950983455,0.9927582937
7749002,K04325.01,0.097146682,0.102913308,0.0085895882
6359926,K04391.01,0.5906579579,0.5552274038,0.5966245102
8324518,K04393.01,0.4942129621,0.2499747786,0.0701464299
3103473,K04395.01,0.4927234698,0.2710716774,0.0075871287
6879171,K04188.01,0.6841373277,0.6808607326,0.9220997691
5785279,K04259.01,0.2904343481,0.5135231257,0.6476087643
9896018,K02579.03,0.6560670099,0.9093355335,0.9689939695
12456063,K04329.01,0.4562499327,0.7467227015,0.9907534625
5096053,K04331.01,0.1092325467,0.0363275374,1.00861320522228E-05
5802637,K04398.01,0.7255024794,0.7003887817,0.8953439399
5531694,K00647.02,0.5907743171,0.4709947853,0.3105640697
7107802,K02420.02,0.6763572408,0.5051166106,0.477553916
9092496,K04193.01,0.2993830837,0.4565135069,0.2605899835
2576962,K04333.01,0.0583070494,0.059684476,0.0054189881
10140274,K04334.01,0.6533771408,0.5701963516,0.9112331438
8345384,K04399.01,0.6518635285,0.5271112293,0.5428396179
7703882,K04403.01,0.6244198525,0.5257333987,0.7277536974
7450747,K04267.01,0.3215303524,0.4329227223,0.7490580973
8890924,K04269.01,0.6617169057,0.5768709085,0.3178395236
4054784,K07679.01,0.520689758,0.1523676941,0.0004461993
10745365,K04405.01,0.7039004873,0.271233697,0.0100312008
8396660,K04407.01,0.2084764554,0.1546194528,0.0096846199
11968463,K02433.03,0.4389053467,0.71572976,0.9701283656
9716028,K04273.01,0.7510294296,0.8153610312,0.9335745593
6223324,K04274.01,0.384270862,0.1333295845,0.0284811903
9773980,K04691.01,0.6110433947,0.448978717,0.4002468884
12004971,K03194.01,0.4981864086,0.541625858,0.7313482731
10467714,K04480.01,0.8135804602,0.585004863,0.8493357835
4141593,K07685.01,0.426313274,0.3763699371,0.7952449256
7778427,K04482.01,0.4888807661,0.4961747957,0.3421198605
6523058,K04549.01,0.4598109962,0.4268553733,0.1272541259
5977470,K04550.01,0.5475883768,0.4253939564,0.5044554917
11769689,K04551.01,0.5458196961,0.5158016017,0.7873936856
6153407,K03179.01,0.4664595826,0.2607129496,0.0128340164
9457948,K04694.01,0.7789281517,0.4094498993,0.5030589452
9898017,K04484.01,0.3640201312,0.3385529176,0.5037638352
8098212,K04487.01,0.6393639538,0.1356712005,0.0161176164
6369131,K04554.01,0.3353095796,0.4225727703,0.5610098289
10257229,K04557.01,0.6059080803,0.4452927848,0.0744264238
3539231,K04626.01,0.7159859088,0.7562421329,0.7189910087
6311891,K04627.01,0.7350482304,0.5669097277,0.9191045899
7834045,K04630.01,0.6716261024,0.8467700013,0.8944984275
