rowid,kepid,kepoi_name,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad
467,6359320,K01127.03,2.83668931,353.81531,0.33,3.031,166.1,1.19,1242,562.48,12.1,5831,4.517,0.921
477,3447722,K01198.04,1.00861677,132.109479,,0.91,,,,,,,,
484,12105051,K00141.01,2.624234833,132.304988,0.781,1.3874,2607,5.11,1164,434.31,361.1,5340,4.514,0.899
487,8240904,K01070.03,92.77779,367.6112,0.0174,6.64,359,1.92,410,6.7,5.2,5888,4.444,1.019
498,3756801,K01206.01,422.917678,448.49648,0.7887,31.274,1367.7,5.89,292,1.73,61.7,5796,4.12,1.444
508,10232123,K01075.01,1.343767797,133.275862,0.891,1.9405,4702.6,18.66,2654,11675.38,269.8,6324,3.8,2.312
512,8397675,K01140.01,0.553261874,133.446605,1.246,0.8875,1038.1,97.36,3689,43709.08,202.2,5679,3.565,3.142
536,8313667,K01145.01,30.5872153,162.8842,0.013,5.3698,464.8,2.32,621,35.08,33.1,5944,4.38,1.082
540,9595686,K00944.01,3.108251172,170.244566,0.9,2.5048,1867.7,4.43,1096,340.69,156.5,5330,4.495,0.847
541,9605514,K00945.01,25.8474958,188.874,0.054,5.985,537.4,2.4,672,48.23,27.3,6297,4.448,1.031
542,9605514,K00945.02,40.715561,146.36485,0.008,6.894,680.9,2.7,578,26.34,28.9,6297,4.448,1.031
551,10141900,K01082.01,6.50327035,135.26657,0.08,2.591,418.3,1.67,804,98.81,19,4999,4.49,0.843
552,10141900,K01082.02,4.09667624,133.09833,0.142,2.19,302.3,1.42,938,182.9,16.2,4999,4.49,0.843
562,5297298,K00130.01,34.193600311,155.2966351,0.625,5.41382,13715,21.95,778,86.74,1405.6,6129,3.991,1.786
564,9772531,K00950.01,31.201692472,183.4076137,0.001,2.15663,34514,8.31,286,1.59,607.4,3748,4.796,0.449
573,4649305,K00143.01,22.65117451,140.337593,0.925,3.6895,2250,7.62,855,126.57,170.1,6968,4.31,1.333
