rowid,kepid,kepoi_name,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad
2680,11618601,K03022.02,5.05368985,135.11296,0.53,2.514,171.5,1.21,1007,243.06,11.5,5772,4.528,0.901
2686,12168993,K03105.01,4.21223579,132.9291,0.97,7.898,116.4,1.04,887,146.4,12.8,5116,4.591,0.7
2689,7700622,K00315.01,35.58349688,189.03562,0.001,3.9885,937.6,2.03,408,6.54,90.8,4894,4.637,0.684
2692,8008067,K00316.03,7.305706326,131.77905,0.826,1.4228,264.9,2.11,972,210.72,43.6,5620,4.333,1.143
2694,7051180,K00064.01,1.951082219,157.54316,0.925,1.6975,1151.8,10.35,2005,3822.26,30.1,5302,3.768,2.426
2698,2446113,K00379.02,23.1375919,152.17335,0.429,3.35,114,1.83,837,115.86,12.9,6078,4.094,1.683
2699,11137180,K03027.01,6.07032548,135.30933,0.454,1.341,311.6,1.36,789,91.45,11.9,5076,4.598,0.763
2701,5903749,K03029.01,18.9763286,134.83396,0.922,2.379,329.8,2.24,638,39.11,11,5300,4.385,0.986
2702,5903749,K03029.02,6.34724702,133.00398,0.739,3.097,159.8,1.35,919,168.14,11.1,5300,4.385,0.986
2704,3756264,K03108.01,7.36272124,136.86143,0.253,1.3287,429.3,1.86,901,155.72,17.8,5868,4.53,0.894
2707,8581240,K03111.02,4.32848303,132.5128,0.367,2.955,35.5,0.66,1199,488.23,11.4,5874,4.338,1.096
2710,8684730,K00319.01,46.15119482,176.626026,0.904,6.3427,1817.3,10.02,703,57.8,286,5877,3.927,1.963
2711,3246867,K06315.01,5.32737192,133.27114,0.3554,2.226,107.7,0.7,782,88.33,6.8,4905,4.593,0.679
2714,8554498,K00005.01,4.780327581,132.974086,0.952,2.0253,960.8,7.14,1441,1020.05,380.8,5937,4.012,1.787
2720,6949898,K03031.01,7.64809462,137.21737,0.265,2.216,195.9,1.19,840,117.65,12.2,5641,4.554,0.85
2723,2973386,K03034.01,31.0209175,138.01479,0.881,2.012,859.5,1.66,291,1.7,15.1,3720,4.764,0.48
2725,7022573,K03112.01,2.118893997,132.8042,0.019,0.822,311.4,1.41,1230,541.53,11.3,5504,4.583,0.796
2727,9288237,K03114.01,7.49133777,135.31257,0.013,6.315,34.5,1.01,1291,656.15,14.4,6177,3.993,1.71
2743,6593150,K03037.01,5.4654174,133.58893,0.301,3.209,219.5,1.23,927,174.08,14.2,5612,4.566,0.829
2746,6523351,K03117.01,6.06664931,136.14365,0.902,1.962,65.3,0.87,915,165.66,10.9,5569,4.521,0.892
2747,5551672,K03119.01,2.184437698,133.67492,0.035,1.0422,1546.8,0.94,529,18.41,19.7,3421,5.014,0.25
2751,8197793,K03123.01,15.2311195,143.73591,0.192,3.91,269.1,1.94,800,96.84,13.1,5836,4.316,1.186
2753,9880467,K00326.01,8.97349999,171.03075,0.56,3.1408,935.1,36,2262,6178.9,44.1,4751,2.52,11.536
2754,9880467,K00326.02,108.546946,151.1275,0.055,7.567,711.3,29.67,985,222.7,15.3,4751,2.52,11.536
2762,3831053,K00388.01,6.14955931,169.55182,0.368,5.5694,333.7,3.26,1287,649.26,87.3,5687,3.973,1.775
2763,6357290,K03040.01,4.8099878,133.00671,0.2,1.97,288.2,1.59,1077,317.8,13.6,5988,4.507,0.934
2764,4072955,K03041.01,5.08288076,134.00557,0.389,2.515,108,1.15,1183,462.96,12.5,6217,4.375,1.083
2765,8695311,K03042.01,31.0259489,158.5632,0.153,5.692,385.4,1.91,595,29.67,12.7,6075,4.486,0.969
2766,9834731,K03043.01,3.08942807,134.1999,0.65,3.214,85.3,1.07,1361,808.76,13.2,6137,4.418,1.103
2767,5092266,K03045.01,44.8702042,141.11446,0.436,4.199,636.1,2.56,536,19.5,16.4,6122,4.471,0.996
2771,7609674,K03128.01,21.2360024,149.88083,0.205,4.019,104.4,2.62,1048,285.21,15.7,6035,3.745,2.559
2781,4252322,K00396.01,14.591504451,180.851546,1.21,1.1295,1490.5,36.85,879,140.82,68,5940,4.199,1.312
2785,9714550,K03048.01,4.73292061,131.579,0.121,1.746,151.6,0.97,957,198.57,15.5,5595,4.581,0.796
2787,5475042,K03050.01,1.242639742,131.88125,0.152,1.763,159.3,1.02,1487,1159.26,16.1,5520,4.572,0.818
2789,10252275,K03130.01,14.8638496,142.95729,1.006,2.705,220.6,2.9,620,35.04,12.3,5159,4.508,0.8
2790,10252275,K03130.02,5.65245733,136.97891,0.889,2.062,121,1.05,856,127.1,11.7,5159,4.508,0.8
2798,5450893,K02970.01,4.82051088,135.78541,0.922,3.588,40.9,1.08,1328,735.25,14.8,6046,4.158,1.396
2799,4770174,K02971.01,6.09595681,134.59214,0.685,5.502,65.7,1.26,1259,593.42,18.1,6313,4.228,1.467
2800,8949925,K02972.01,13.2511214,141.178,0.231,4.996,266.5,1.98,850,123.32,15.2,5850,4.297,1.217
2801,9959492,K03051.01,11.682369,134.8311,0.6987,2.71,234.5,1.45,802,97.62,11.2,6089,4.527,0.889
2802,8827575,K03052.01,10.12956201,135.99804,0.544,3.044,81.3,0.78,736,69.43,12.2,5383,4.528,0.842
2803,8827575,K03052.02,15.6112238,144.8735,0.468,3.873,113.5,0.91,637,38.99,15.7,5383,4.528,0.842
2809,6945786,K03136.01,2.39161966,133.07956,0.299,1.906,189.2,0.93,1031,266.01,13.6,4935,4.589,0.685
2810,5978170,K03140.01,5.68879083,131.6672,0.39,2.55,241.5,0.99,645,40.88,13.8,4234,4.63,0.639
2819,6438099,K02976.01,21.61313362,137.02689,0.714,1.52,818.1,1.94,503,15.14,13.8,5267,4.681,0.632
2828,3752110,K03142.01,27.9430245,136.8697,0.052,6.125,308.6,2.21,718,62.74,12.3,6468,4.363,1.25
2830,1717722,K03145.01,4.53702121,132.1846,0.706,1.813,504.4,1.66,798,95.61,15.7,4805,4.633,0.688
2831,1717722,K03145.02,0.977311489,131.70299,0.01,1.403,250.7,1.06,1331,737.36,14.8,4805,4.633,0.688
2839,4141376,K00280.01,11.87290814,180.895933,0.904,2.5342,332.7,2.25,863,131.55,84.7,6147,4.412,1.04
2842,8360640,K02982.01,4.0223109,135.17298,0.741,0.853,227.8,1.37,1017,253.28,11,5516,4.544,0.827
2844,4857058,K03061.01,7.32851947,132.12857,0.983,1.211,277.8,2.33,807,100.13,14,5135,4.464,0.874
2847,5040077,K03065.01,0.896382269,132.29651,0.332,1.113,136.4,1,1810,2524.81,11.7,5837,4.502,0.843
2849,9592705,K00288.01,10.27532513,177.27227,0.315,6.3093,209.7,3.04,1211,508.21,99.5,6150,3.96,2.086
2851,10386922,K00289.01,26.62941953,191.99627,0.015,7.8709,492.8,3.13,742,71.75,106.9,5866,4.117,1.417
2858,7918652,K02984.01,11.45541896,136.32524,0.116,4.95,68.6,1.12,975,213.86,15.8,6231,4.276,1.356
2861,9230021,K03429.04,44.433726,162.9825,0.624,6.118,239.6,1.85,538,19.73,8,5596,4.298,1.145
2863,6636320,K02989.01,6.33125228,137.14149,0.094,2.688,306.6,1.31,822,108.04,16.2,5383,4.603,0.759
2864,4067925,K03066.01,24.2204192,146.42459,0.032,3.271,806.3,2.1,505,15.43,14,5165,4.599,0.761
2868,3230805,K03068.01,3.91679553,133.60274,0.007,2.072,161.3,0.85,851,123.73,13.2,4889,4.637,0.686
2869,4676964,K03069.01,43.1024434,140.1394,0.011,7.124,299.8,1.88,539,19.96,14.3,5741,4.365,1.097
2875,11189127,K00347.01,2.671942657,169.853908,0.982,1.9119,15942,22.36,1458,1069.47,97.5,6116,4.335,1.055
2877,11394027,K00349.01,14.38682567,170.455049,0.021,2.1417,569.6,2.54,776,85.46,61.7,5725,4.353,1.072
2878,7609553,K02924.02,8.85686712,134.13633,0.923,0.606,319.2,1.88,714,61.54,11.9,5017,4.516,0.797
2879,11395587,K00350.01,12.99065074,177.23865,0.068,2.3748,392.3,2.02,790,92.12,42.5,5787,4.402,1.027
2885,8509442,K02992.01,82.6595174,152.6726,0.579,3.48,1270.7,2.03,233,0.7,17.1,3952,4.716,0.553
2890,8546542,K03073.01,7.40985182,138.18222,0.234,1.131,201.1,1.18,818,105.91,13.5,5462,4.56,0.836
2898,10122538,K02926.05,75.731195,201.9685,0.9,4.859,2496,3.47,237,0.74,16.3,3891,4.718,0.564
2902,11566064,K00353.01,152.1060435,176.52741,0.878,7.4517,3688.3,11.58,458,10.36,116.3,6200,4.072,1.64
2903,11566064,K00353.02,30.6528935,135.04211,0.682,4.99,269.7,2.86,780,87.69,17.4,6200,4.072,1.64
2911,3328080,K03075.01,4.76559056,133.50531,0.14,2.2,67.5,0.92,1167,439.42,15.2,5702,4.258,1.125
2912,8430964,K03078.01,2.98618134,133.46926,0.249,2.969,122.9,1.16,1356,798.35,12,6173,4.447,1.041
2916,12256520,K02264.02,7.25101997,138.1878,0.314,2.799,122.8,0.91,807,100.18,12.2,5382,4.571,0.827
2919,12785320,K00298.02,57.3840375,170.72723,0.954,4.336,241.7,1.62,397,5.85,22.9,5250,4.541,0.79
2924,11568987,K00354.02,7.37867551,135.82271,0.513,3.349,125.1,1.11,933,178.68,22.3,5936,4.501,0.965
2928,10000941,K04146.02,2.5738437,132.17126,0.044,1.92,46.6,0.57,1129,384.24,10.9,5115,4.477,0.854
2934,6677841,K01236.04,98.353149,217.883,0.906,24.708,423,4.13,552,21.96,30.5,6366,4.045,1.697
2935,7106173,K03083.01,10.18318233,133.21404,0.449,3.137,51.5,0.79,867,133.56,11.2,5843,4.421,1.084
2936,7106173,K03083.02,6.2321233,135.2369,0.32,2.85,31.7,0.61,1021,256.72,8.5,5843,4.421,1.084
2937,7106173,K03083.03,8.2942929,134.8478,0.006,3.976,36.8,0.65,928,175.39,10.1,5843,4.421,1.084
2940,8162789,K00521.01,10.161023528,172.000736,0.716,3.1627,1653.9,4.62,904,157.97,111.1,6032,4.387,1.06
2941,8265218,K00522.01,12.82993461,169.944919,0.594,2.942,1417.4,3.31,734,68.41,79.6,5862,4.555,0.844
2949,8558011,K00577.01,39.6766071,178.55555,0.639,5.04,611.2,2.29,473,11.85,24.9,5244,4.449,0.888
2961,9334893,K02298.03,2.47240869,132.44084,0.319,1.87,47.5,0.36,887,145.69,9,4729,4.726,0.525
2962,8934495,K00524.01,4.592393816,172.004723,0.02,2.2748,1027.7,2.51,924,172.6,105.9,5351,4.582,0.796
2967,12406807,K03091.02,7.9069765,138.427,0.038,4.634,126.1,1.13,994,230.28,8.3,6347,4.464,0.996
2973,4548011,K04288.04,13.9509565,144.287,0.467,5.231,35.7,0.75,849,122.88,11.2,5888,4.275,1.227
2975,10016874,K00426.01,16.30141333,172.14753,0.786,3.5764,942.3,3.84,805,99.08,62.4,6072,4.328,1.138
2976,10189546,K00427.01,24.61480613,191.741225,0.435,2.6602,1798,4.2,586,27.93,68.4,5312,4.384,0.986
2991,10395543,K00531.01,3.687469832,170.8803594,0.919,1.0668,5057.6,5.78,690,53.6,363.9,4004,4.659,0.606
2994,7941200,K00092.01,65.7045275,137.44275,0.663,3.3104,636.1,2.78,472,11.72,70.4,5918,4.403,1.043
3000,10717241,K00430.02,9.340538,135.12248,0.074,2.57,200.8,0.84,530,18.69,11.1,4200,4.664,0.607
3001,7303287,K01353.03,330.071558,340.9871,0.681,4.295,616.7,2.94,286,1.58,10.6,5933,4.342,1.115
3013,8121310,K00317.02,11.505879,136.2363,0.029,5.583,49.8,0.99,1000,236.35,12.5,6336,4.266,1.403
3014,10513530,K00533.02,3.52467888,131.63994,0.976,2.484,129.7,1.46,1098,344.61,12.3,5372,4.434,0.916
3046,11709124,K00435.02,934.09418462,657.26877,0.4948,17.489,8709.6,7.89,177,0.23,135.5,5937,4.559,0.832
3047,11805075,K00436.01,199.83920527,225.35896,0.811,4.378,44490,21.48,276,1.36,590.6,5457,4.548,0.869
3068,10676824,K00599.01,6.45442931,173.21478,0.749,2.6772,586.1,2.48,999,234.98,45.3,6092,4.496,0.943
3072,6268648,K01613.03,20.605501,146.5069,0.705,3.793,37.1,0.85,806,99.53,11.1,6099,4.193,1.308
3078,8212002,K02593.02,9.5539134,135.5281,0.142,5.261,26.8,0.68,1012,247.86,13.1,6175,4.299,1.307
3084,7017274,K03209.02,6.77067637,133.34914,0.127,5.982,65.8,1.9,1499,1193.45,19.6,6337,3.893,2.335
3090,12366084,K00787.03,0.589376952,131.8694,0.491,1.71,80.7,0.93,2162,5161.1,11.4,5714,4.428,1.015
3091,9957627,K00592.01,39.7529915,175.46244,0.046,4.9641,549.3,2.37,568,24.54,40.9,6072,4.411,1.01
3096,9872283,K01815.02,1.74610057,131.7921,0.032,1.299,54.2,1.24,1689,1924.75,9.2,4854,3.939,1.749
3111,9958962,K00593.03,51.0674355,147.60941,0.482,4.374,597.5,2.44,499,14.69,18.7,6004,4.484,0.977
3125,4951877,K00501.01,24.7962801,170.32595,0.01,8.33,574.4,2.7,664,45.92,43.6,5770,4.333,1.141
3132,5544450,K03226.02,6.93650854,133.98309,0.331,3.674,88.7,1.51,1305,687.21,11.3,6615,4.173,1.574
3136,10973664,K00601.02,11.67894236,131.5119,0.94,1.2641,1185.1,4.17,830,112.07,23.1,6122,4.487,0.964
3148,6779260,K02678.02,2.2165905,131.5607,0.703,1,28.7,0.48,1215,515.27,2.8,5397,4.543,0.831
3153,5443837,K00554.01,3.65849707,170.54381,0.906,2.573,4398,14.61,1583,1486.35,47,5857,3.972,1.822
3156,5709725,K00555.02,86.4943704,181.88967,0.741,7.471,995.2,3.07,367,4.29,42.6,5252,4.442,0.898
3166,2832589,K01942.02,2.433703498,133.83759,0.952,0.975,258.3,1.66,1112,362.64,10.2,5251,4.592,0.778
3171,5780715,K00506.01,1.583160478,169.965242,0.897,1.1935,732.6,3.27,1619,1625.93,97.7,6063,4.476,1.012
3172,10793172,K02871.04,7.9788198,132.2596,0.05,2.874,83.8,0.99,927,174.85,8.3,5553,4.33,1.098
3178,10285631,K00331.02,10.52286678,137.78844,1.12,1.911,130.2,23.26,1008,243.72,10.1,5548,4.038,1.614
3179,5978361,K00558.01,9.17858526,173.08746,0.582,2.1945,796.5,2.3,753,76.14,50.6,5506,4.584,0.788
3184,8554498,K00005.02,7.05185637,133.3669015,,3.69,,,,,,,,
3189,7504328,K00458.01,53.71798494,208.08042,0.93,4.104,3153.5,155.12,1550,1363.11,103,4959,2.332,21.449
3193,7199397,K00075.01,105.8817667,156.97935,0.539,18.044,1556.3,10.16,595,29.64,301.8,5903,3.757,2.499
3208,10157458,K01083.02,4.57797412,135.63058,0.343,2.862,125.4,0.96,1024,259.36,9.6,5795,4.554,0.848
3214,8261920,K02174.04,3.01609637,131.55327,0.7,1.57,196.3,0.96,795,94.1,8.1,4245,4.641,0.637
3220,6716545,K02906.03,21.9424316,143.8807,0.413,7.447,72.7,1.23,797,95.46,10.7,6052,4.183,1.424
3226,1723078,K07624.01,330.025002,364.8075,0.68,6.659,259.2,5.92,478,12.36,12.2,6126,3.578,3.466
3238,10187017,K00082.06,22.4098677,147.38366,0.869,2.271,69.8,0.73,489,13.55,11.9,4900,4.602,0.741
3256,7906892,K04773.02,11.1438086,131.725,0.629,7.905,41.7,0.75,906,159.1,10.9,6095,4.349,1.11
3262,8320630,K04846.02,32.526674,137.3054,0.472,6.842,204.9,1.26,525,17.91,9.7,5668,4.545,0.868
3263,9703198,K00469.01,10.32906563,174.608213,0.923,1.44,2309.8,6.17,908,160.44,114.8,6228,4.441,1.049
3276,8056665,K00089.02,207.5829306,289.88311,0.84,7.0686,505.1,4.52,453,9.97,70,6688,4.062,1.79
3282,6289650,K00415.01,166.7876551,245.143036,0.041,5.8676,4764.2,7.03,334,2.93,183.8,5663,4.377,1.031
3285,11135694,K04896.02,49.537365,172.1948,0.435,9.862,201.7,1.48,532,18.87,10.1,6118,4.416,1.023
3286,10155434,K00473.01,12.70636123,180.63164,0.793,2.395,871.7,2.75,697,55.86,54,5573,4.562,0.839
3289,10460984,K00474.03,94.886902,214.82879,0.982,6.923,641.7,4.24,429,7.99,25.5,5888,4.342,1.097
3303,8216763,K04838.03,24.0721647,148.9637,0.949,3.171,177.3,1.1,400,6.08,6.7,4352,4.671,0.613
3309,3758499,K05007.02,80.881757,136.6708,0.335,12.568,142.7,2.27,581,26.91,12.2,5934,3.945,1.885
3316,10157573,K00726.01,5.115750935,173.26599,1.475,2.5378,1055.8,60.74,1202,493.38,51.8,6398,4.411,1.101
3318,10221013,K00728.01,7.189379172,170.117783,0.908,2.0351,8126.4,11.94,1026,261.94,288.5,6214,4.442,1.076
3327,7619236,K00682.01,562.1725914,185.968547,0.7801,9.8841,5877.8,10.9,241,0.8,208.4,5589,4.229,1.289
3328,7630229,K00683.01,278.1243979,177.51831,0.871,3.978,2297.8,5.86,286,1.57,58.5,5799,4.408,1.05
3329,7730747,K00684.01,4.034914368,172.257813,0.965,1.7874,800.1,6.95,1452,1052.15,92.6,5548,3.964,1.793
3332,7906882,K00686.01,52.513548727,171.6745959,0.679,3.2743,14252,12.43,472,11.73,825,5589,4.421,0.98
3333,7976520,K00687.01,4.17838675,171.98866,0.617,2.123,316,3.13,1430,988.44,15.1,5746,4.039,1.687
3337,2302997,K07630.01,16.2982201,134.7404,0.698,2.558,199,0.78,388,5.38,7.9,3905,4.736,0.521
3340,8505215,K00099.01,2190.7010353,140.04806,0.2597,19.891,1874.2,3.12,109,0.03,94.8,4965,4.555,0.736
3345,5020319,K00635.01,16.71987303,171.40143,0.437,3.317,523.1,2.52,767,81.63,19.2,6020,4.389,1.085
3349,12116489,K00547.03,12.3860474,132.8175,0.538,2.604,151.3,1.11,679,50.23,9.1,5121,4.457,0.888
3351,8480285,K00691.01,29.66631669,189.36948,0.019,8.412,668,2.83,644,40.68,95.3,5956,4.322,1.098
3354,10265898,K00732.02,3.29534567,132.48799,0.729,1.902,141.9,1.23,1139,397.37,10.4,5550,4.5,0.954
3355,10265898,K00732.03,5.25449393,132.55624,0.837,3.078,169,1.41,975,213.25,12.6,5550,4.5,0.954
3373,10272442,K00734.02,70.2780911,151.32941,0.07,2.466,781.6,2.54,434,8.38,14.9,5955,4.52,0.91
3374,4055765,K00100.01,9.9664004,141.15324,0.966,5.0127,1619,16.89,1578,1466.1,125.9,6638,3.664,3.079
3375,5131180,K00641.01,14.85185526,177.9987,0.815,3.5263,1341,2.73,457,10.3,58.3,4129,4.636,0.652
3380,8869680,K00696.01,7.03380109,174.15772,0.861,6.4185,138.5,2.61,1320,718.45,46.7,6122,4.019,1.934
3381,10843431,K07378.02,56.391062,167.579,0.92,5.7,2042,3.58,310,2.18,11.4,4406,4.643,0.628
3385,10287242,K00735.01,22.34213536,171.55939,0.973,6.461,2264.4,5.19,526,18.14,51.9,5237,4.568,0.707
3391,5374854,K00645.02,23.7832097,179.75013,0.01,7.939,256.5,2.01,725,65.26,38.3,5877,4.233,1.265
3402,9588822,K04388.02,61.858947,191.9736,0.621,21.32,70.8,2.47,699,56.48,9.1,5529,3.685,2.817
3406,8456679,K00102.01,1.73513619,135.060047,0.045,2.2741,952.6,3.27,1554,1372.87,473.2,5751,4.391,1.071
3407,5786676,K00650.01,11.95474513,178.721694,0.601,2.1433,903.4,5.15,906,159.04,96.3,5059,3.976,1.657
3423,9266431,K00704.01,18.39629744,185.13946,0.872,2.7838,680.2,2.47,582,27.09,58.4,5316,4.57,0.804
3438,10610039,K04577.02,3.07365139,134.17117,0.034,2.102,90.5,0.79,1215,515.92,9.6,6068,4.565,0.831
3450,11284772,K04622.02,4.50158249,134.1153,0.016,1.855,175.7,0.73,676,49.21,9.7,4339,4.711,0.553
3455,4832837,K00605.02,5.06546874,131.94499,0.477,2.203,121.1,0.62,592,29.01,10.4,3939,4.705,0.557
3457,5441980,K00607.01,5.89399142,173.485973,0.867,1.2737,10993,11.16,940,185.03,252.5,5713,4.541,0.893
3462,2444412,K00103.01,14.91095177,141.336726,0.014,3.325,864.5,2.62,694,54.87,116.9,5650,4.5,0.899
3467,10972902,K04692.02,7.6720844,134.1756,0.523,3.451,75.1,0.72,875,138.74,8.4,5972,4.57,0.807
3473,6309763,K00611.01,3.251659087,171.0604906,0.938,1.5286,4747.9,9.83,1384,865.87,466.2,6367,4.419,1.087
3483,9413156,K04700.02,66.47762,184.2673,0.384,4.487,553.5,1.83,388,5.34,9.1,5515,4.592,0.775
3485,9846348,K00716.01,26.89316101,179.95245,0.98,2.3266,2193.2,6.78,614,33.54,119.6,6096,4.511,0.908
3494,2696205,K07636.01,0.702739679,131.533,0.742,1.379,65.1,0.73,1765,2292.96,9.5,5269,4.508,0.836
3495,6752502,K00667.01,4.305219002,170.453154,0.626,2.6845,9738.6,10.34,1119,370.84,205.8,5780,4.438,1
3504,9714696,K00616.01,1.433339604,169.85606,0.902,1.3665,305.2,2.08,1677,1873.33,39.6,6077,4.471,0.999
3507,10384962,K00619.01,2.879243323,170.710636,0.709,2.6273,48050,21.02,1244,565.39,200.5,5941,4.533,0.885
3525,12417486,K00622.01,155.042265,213.49978,0.824,9.848,4880.9,26.44,511,16.15,117.9,4994,3.509,3.322
3554,2577353,K07635.01,60.458443,136.3553,0.451,8.43,175.2,1.59,511,16.14,9.7,5865,4.297,1.181
3557,4449034,K00625.01,38.13853099,180.43748,1.231,3.8617,1230.2,68.75,873,137.15,58.9,6481,3.861,2.343
3559,4478168,K00626.02,8.0292018,132.8283,0.51,3.462,65.6,0.99,1040,276.27,11.7,6063,4.29,1.191
3572,8686373,K04066.01,126.55719,145.69736,0.965,8.079,366.4,4.59,524,17.85,24.8,6501,4.054,1.854
3576,7256914,K04136.01,2.41750021,133.80584,0.895,4.33,58.2,1.19,1507,1221.36,15.2,5575,4.189,1.308
3577,7256914,K04136.02,4.03357434,134.23275,0.855,5.886,66.2,1.23,1270,616.04,15.5,5575,4.189,1.308
3579,6871071,K02220.04,7.66462913,137.38342,0.216,3.614,114.1,1.6,1106,353.31,13.2,5640,4.087,1.515
3580,5530112,K04067.01,9.6887216,131.8295,0.118,2,655.5,3.09,1014,250.25,18.1,6457,4.358,1.196
3582,5906694,K04069.01,13.06243545,144.18426,0.128,3.244,464.3,1.36,527,18.25,21.4,4522,4.615,0.655
3595,3112129,K04144.01,0.487656278,132.16692,0.037,1.0129,109.8,0.99,2299,6647.8,25.1,5957,4.506,0.937
3598,3103212,K04145.01,3.25424652,133.5121,0.665,5.378,82.1,0.96,1220,521.81,18.3,5692,4.421,1.004
3601,6871071,K02220.05,11.9294568,133.74078,0.3789,3.193,132.3,1.05,797,95.42,11.7,5975,4.48,0.9
3607,10875007,K04149.01,9.54699216,140.15819,0.879,5.063,143,1.71,996,232.24,17.4,6274,4.357,1.232
3608,10875007,K04149.02,14.708641,133.85125,0.96,5.394,130.6,1.82,862,130.5,12.8,6274,4.357,1.232
3609,11465651,K04150.01,31.3351094,136.97538,0.706,6.071,264.9,1.99,666,46.53,16.7,6404,4.393,1.142
3617,5881120,K04156.01,4.85018974,135.31157,0.985,5.676,64.5,1.1,1098,344.04,15.8,6032,4.485,0.973
3619,4548098,K04157.01,3.82315697,133.06936,0.064,2.388,47.2,0.77,1282,638.38,8.9,6202,4.422,1.122
3622,7021681,K00255.02,13.6032081,140.3975,0.777,2.592,180.5,0.75,397,5.85,9.4,3780,4.746,0.511
3630,4078311,K04166.01,9.84262076,134.02155,0.234,1.6018,626.4,2.41,801,97.62,16.8,5585,4.49,0.972
3637,11967788,K04021.01,7.23531329,133.12054,0.326,3.338,112.2,1.53,1207,501.36,14,6422,4.219,1.421
3645,7199060,K04152.01,64.1862264,191.65639,0.968,8.485,507.3,8,839,116.97,18.6,6951,3.766,2.758
3646,8439323,K04153.01,4.62602867,134.68092,0.739,0.643,346.9,1.65,1012,247.34,14.7,5834,4.566,0.797
3647,4458082,K02303.02,8.93484887,133.39108,0.888,2.579,135.9,1.83,1124,377.25,9.7,6688,4.304,1.347
3649,11967788,K04021.02,4.93211932,132.4538,0.034,3.144,50.5,1.02,1372,837.01,7.5,6422,4.219,1.421
3650,7733731,K04022.01,4.85819429,135.14503,0.086,5.356,76.3,2.04,1685,1904.91,25.2,6109,3.78,2.326
3653,3110177,K07644.01,3.39904814,134.6684,0.596,2.922,69.6,0.81,1191,477.15,8.1,5766,4.444,0.929
3658,5942808,K02250.02,0.626281766,131.90594,0.553,1.1812,433.1,1.76,1711,2011.27,31,4922,4.505,0.823
3659,3232249,K07648.01,1.183505016,131.75303,0.403,1.275,116.6,0.8,1293,658.87,10,4832,4.592,0.746
3660,5688683,K04097.01,2.790643481,133.1555,0.787,0.6871,202,0.99,816,104.74,20.2,4353,4.681,0.603
3665,7449554,K02357.02,15.9042402,131.50051,0.876,2.093,444.8,3.79,863,131.11,13.3,5583,4.077,1.53
3668,8282651,K02193.02,4.16288745,131.67875,0.4265,0.678,391.7,1.32,763,80.23,12,4478,4.615,0.651
3672,8222627,K04098.01,1.121733366,131.56919,0.464,1.032,84.3,2.39,2384,7641.15,13.6,5023,3.682,2.571
3673,8951205,K04099.01,4.95060632,132.80914,0.458,1.719,309.5,1.28,885,145.23,17.4,5431,4.623,0.717
3691,9071593,K02257.02,59.284064,148.75407,0.556,5.42,424.4,1.81,401,6.14,13.1,5225,4.505,0.859
3696,8264402,K04037.01,215.956008,271.3671,0.959,10.425,392.7,3.36,361,4.03,23.3,6163,4.27,1.313
3699,3129238,K07645.01,2.00870696,131.51,0.194,4.87,53.5,0.55,1232,542.87,12.2,5341,4.526,0.759
3702,7907808,K04109.01,0.655939788,132.09997,0.301,1.318,73,1.48,2411,7986.43,18.7,4968,3.924,1.755
3718,9655005,K04047.01,1.39862757,132.65615,0.617,9.625,45.5,2.39,3562,38048.23,59.6,7872,3.732,3.367
3722,5092655,K04116.01,0.783258387,131.74358,0.2514,2.2926,328.5,1.28,1559,1395.69,28.5,5067,4.565,0.715
3732,9700449,K04120.01,110.461746,147.5465,0.036,12.46,331.2,1.93,420,7.34,15.8,6321,4.434,1.058
3735,6140059,K04123.01,44.6226725,137.942,0.931,12.974,131.9,1.73,613,33.39,20.6,6198,4.252,1.239
3736,5726910,K04124.01,2.43142974,133.83385,0.2234,2.713,146.6,1.17,1378,852,10.7,5750,4.364,0.965
3737,1718958,K04053.01,1.41975831,132.92,0.644,1.429,60.9,0.85,1700,1968.38,8.1,5925,4.394,1.035
3738,6428794,K04054.01,169.135056,201.8055,0.754,8.931,640.7,2.21,273,1.31,24.5,5171,4.545,0.801
3740,4673628,K04056.01,3.951383138,132.06462,1.217,1.0582,405.7,23.51,1083,324.78,23.9,5570,4.458,0.899
3742,3852872,K07673.01,80.769893,188.5556,0.158,4.2,128.5,1.87,475,12.07,6.7,4965,3.961,1.708
3751,9086154,K04060.01,225.26213,224.9887,0.349,14.459,389.2,2.36,329,2.77,24.6,5799,4.276,1.191
3754,11970988,K04129.01,2.31482311,133.04857,0.067,2.127,58.6,0.69,1237,554.4,14.2,5240,4.428,0.923
3760,6792908,K04341.01,10.778313,136.6142,0.591,5.256,90.7,1.25,1067,306.18,12.5,6726,4.262,1.258
3762,8087812,K04343.01,27.2106807,132.3793,0.973,10.515,99.4,1.73,725,65.27,16.9,5973,4.171,1.305
3764,10534155,K04345.01,4.32710895,133.40886,1.158,1.387,108.9,26.6,1397,900.23,12.9,5776,4.018,1.455
3765,5308537,K04409.01,14.2651545,143.22024,0.353,3.601,66.3,1.06,853,125.45,13.9,5825,4.237,1.291
3766,6350882,K04410.01,5.04404366,136.00785,0.08,1.682,236.5,1.47,1078,318.92,11.6,6039,4.493,0.951
3769,3450040,K04205.01,1.166960319,131.64332,0.033,1.6823,97.8,0.88,1596,1534.29,17.9,5632,4.537,0.904
3772,9456281,K04207.01,0.701944362,132.00161,0.07,0.641,210.8,0.8,1227,535.78,17.1,4236,4.698,0.539
