rowid,koi_disposition,isExoplanet,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
3998,CANDIDATE,1,11.615625,131.96843,0.977,2.233,191.2,2.84,905,158.69,8.8,2,q1_q17_dr25_tce,5332,4.083,1.453,293.52756,41.111439,15.162
3999,CONFIRMED,1,110.978266,147.0226,0.074,11.312,150.2,1.86,463,10.84,14,2,q1_q17_dr25_tce,5883,4.149,1.529,292.80865,49.579441,13.848
4000,FALSE POSITIVE,0,0.952378454,131.85999,0.996,3.892,43.8,1.46,2528,9651.76,17.4,3,q1_q17_dr25_tce,6963,4.25,1.375,290.70651,48.226559,13.541
4001,CANDIDATE,1,6.08003714,136.88262,0.254,1.308,184,1.07,808,100.72,17.7,1,q1_q17_dr25_tce,4991,4.513,0.804,281.89813,42.28587,13.473
4002,CANDIDATE,1,3.035206175,132.3291,0.965,0.6182,696.9,3.59,1143,403.53,19.1,1,q1_q17_dr25_tce,5505,4.503,0.873,282.33563,42.84544,15.556
4003,FALSE POSITIVE,0,2.21316437,132.71281,0.672,3.874,116.1,0.95,1374,841.98,27.9,1,q1_q17_dr25_tce,5921,4.465,0.83,292.96982,45.905579,14.4
4004,CANDIDATE,1,173.2578372,194.4584,1.9038,2.027,687,117.29,376,4.73,13.5,1,q1_q17_dr24_tce,6392,4.399,1.162,283.72552,45.676849,14.201
4005,FALSE POSITIVE,0,0.530967987,131.72336,0.093,1.812,26.9,1.08,4196,73103.16,24.1,1,q1_q17_dr25_tce,8473,4.123,2.052,288.85028,44.596939,12.717
4006,CONFIRMED,1,6.30558387,131.53058,0.601,2.619,193.1,2.52,1125,378.9,9.5,1,q1_q17_dr25_tce,4934,3.927,1.756,292.95526,47.573101,15.056
4007,CANDIDATE,1,41.6757509,169.791,0.256,10.848,142,2.1,690,53.72,22.6,1,q1_q17_dr25_tce,5745,3.957,1.763,295.1333,43.631432,13.34
4008,FALSE POSITIVE,0,8.4803326,135.8598,0.556,5.918,35.6,1.35,1390,882.07,11,1,q1_q17_dr25_tce,6245,3.826,2.179,298.82495,46.713531,12.797
4009,CANDIDATE,1,0.609926502,131.80347,0.24,1.2529,133.8,1.12,2141,4990.14,15.3,1,q1_q17_dr25_tce,5936,4.501,0.965,290.39172,43.440338,15.682
4010,FALSE POSITIVE,0,0.750744255,132.18261,1.154,1.7921,170.6,17.07,2074,4387.1,50.4,2,q1_q17_dr25_tce,6187,4.499,0.937,293.80884,48.36562,13.941
4011,CONFIRMED,1,0.991659646,131.53686,0.765,2.215,77.3,1.19,2102,4614.18,13.5,1,q1_q17_dr25_tce,6117,4.315,1.244,294.4418,40.571678,14.978
4012,CANDIDATE,1,49.4746966,166.142,0.491,10.46,291,1.62,498,14.5,17.2,1,q1_q17_dr25_tce,5952,4.475,0.928,290.39505,41.78157,14.955
