"rowid","kepid","koi_disposition","koi_period","koi_time0bk","koi_impact","koi_duration","koi_depth","koi_prad","koi_teq","koi_insol","koi_model_snr","koi_tce_plnt_num","koi_tce_delivname","koi_steff","koi_slogg","koi_srad","ra","dec","koi_kepmag","predict","p0","p1"
287,8951215,"CANDIDATE",39.4759093,173.31207,0.9380000000000001,2.9680000000000004,1012.6,4.0600000000000005,577,26.13,26.6,1,"q1_q17_dr25_tce",6225,4.45,1.031,291.20804000000004,45.244389,15.229000000000001,"1",0.38977872733926633,0.6102212726607337
304,9347899,"CANDIDATE",9.61731426,142.47478999999998,0.331,3.8692,234.0,1.94,1010,246.13,18.2,4,"q1_q17_dr25_tce",6035,4.22,1.2570000000000001,294.02301,45.853080999999996,15.237,"1",0.06526633909237034,0.9347336609076297
312,9904059,"CANDIDATE",102.96419519999999,158.07473,0.922,15.735000000000001,1896.7,39.0,797,95.4,86.10000000000001,1,"q1_q17_dr25_tce",5047,3.0660000000000003,7.119,296.81772,46.781509,13.608,"0",0.963607649482547,0.03639235051745305
316,2860866,"CANDIDATE",90.1240507,356.23415,0.6980000000000001,11.649000000000001,3020.3,7.12,485,13.09,57.900000000000006,1,"q1_q17_dr25_tce",6520,4.375,1.215,293.22391000000005,38.033581,14.96,"0",0.7479360205486897,0.2520639794513103
318,10460629,"CANDIDATE",856.672115,228.44987999999998,0.1158,23.144000000000002,858.1,3.87,242,0.81,39.2,,,6449,4.232,1.309,287.58679,47.600021,13.997,"0",0.9999190276819823,8.097231801771243E-5
319,10319385,"CANDIDATE",0.6892101730000001,133.28584,0.154,1.6169000000000002,195.0,1.32,1943,3362.71,93.4,1,"q1_q17_dr25_tce",5630,4.505,0.9540000000000001,281.55118000000004,47.469958999999996,13.248000000000001,"1",0.5902852637885645,0.40971473621143556
320,10482160,"CANDIDATE",7.34373964,137.29873999999998,0.185,1.1784000000000001,574.4,1.84,839,117.5,32.2,1,"q1_q17_dr25_tce",5757,4.597,0.762,296.23215000000005,47.678959,14.657,"1",0.2300951825175126,0.7699048174824874
327,11180361,"CANDIDATE",0.533059312,171.2274419,1.2630000000000001,1.8621,1495.8000000000002,133.56,5862,277887.7,179.60000000000002,1,"q1_q17_dr25_tce",8523,3.559,4.051,286.0192,48.866741,7.748,"0",0.9999979529068245,2.0470931755155315E-6
342,10287723,"CANDIDATE",129995.77840000001,393.59961999999996,0.7127,9.408000000000001,1474.9,2.99,25,0.0,35.7,,,4500,4.572,0.726,296.82162000000005,47.354031,13.447000000000001,"0",1.0,0.0
345,11013201,"CANDIDATE",13.118962443000001,261.53943399999997,0.042,4.3045,372.20000000000005,8.25,1768,2310.43,267.40000000000003,1,"q1_q17_dr25_tce",7221,3.488,4.24,282.00031,48.542221,9.275,"1",0.24076939331818892,0.7592306066818111
348,9414417,"CANDIDATE",53.5057611,172.98304,0.46,10.5616,195.60000000000002,2.52,675,49.160000000000004,71.2,1,"q1_q17_dr25_tce",6247,4.016,1.762,295.80267000000003,45.988079,9.582,"1",0.29278068423155945,0.7072193157684405
354,6131236,"CANDIDATE",6.79685353,138.11324,0.62,3.1702000000000004,393.1,2.0100000000000002,985,222.91,29.8,1,"q1_q17_dr25_tce",6061,4.486,0.97,294.16321000000005,41.451800999999996,15.391,"1",0.5838549639355946,0.41614503606440545
361,2307199,"CANDIDATE",13.4471791,132.830555,0.9630000000000001,3.0454000000000003,1428.2,5.24,848,122.34,105.30000000000001,1,"q1_q17_dr25_tce",6276,4.405,1.041,292.37476000000004,37.630959,14.0,"1",0.624607689867748,0.3753923101322521
367,11192141,"CANDIDATE",1.3537718920000001,261.43662,1.203,7.0120000000000005,1349.1000000000001,430.99,4903,136609.48,76.7,1,"q1_q17_dr25_tce",4283,2.012,15.76,292.71964,48.852016,10.523,"0",0.9999998900510587,1.0994894126366402E-7
379,3109930,"CANDIDATE",37.8102649,158.35799,0.061000000000000006,8.733,570.3000000000001,2.33,566,24.27,35.2,1,"q1_q17_dr25_tce",6085,4.4510000000000005,0.973,289.7767,38.26228,14.633000000000001,"1",0.25289304600743745,0.7471069539925626
